TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
TOR,05/07/2017,TOR vs. CLE,L,240,102,40,85,47.1,10,29,34.5,12,15,80.0,8,29,37,28,7,3,11,18
TOR,05/05/2017,TOR vs. CLE,L,238,94,38,87,43.7,2,18,11.1,16,17,94.1,1,24,25,17,9,4,4,21
TOR,05/03/2017,TOR @ CLE,L,242,103,42,90,46.7,5,17,29.4,14,19,73.7,8,29,37,21,8,4,13,21
TOR,05/01/2017,TOR @ CLE,L,239,105,39,89,43.8,10,26,38.5,17,20,85.0,8,35,43,22,5,5,12,22
TOR,04/27/2017,TOR @ MIL,W,241,92,32,70,45.7,9,22,40.9,19,23,82.6,11,32,43,14,9,4,14,20
TOR,04/24/2017,TOR vs. MIL,W,239,118,41,71,57.7,12,27,44.4,24,26,92.3,5,35,40,28,10,6,17,24
TOR,04/22/2017,TOR @ MIL,W,240,87,33,80,41.3,5,22,22.7,16,17,94.1,4,37,41,16,11,6,12,19
TOR,04/20/2017,TOR @ MIL,L,240,77,24,71,33.8,6,22,27.3,23,30,76.7,9,31,40,11,6,4,15,21
TOR,04/18/2017,TOR vs. MIL,W,240,106,37,77,48.1,14,29,48.3,18,25,72.0,6,34,40,24,6,4,12,22
TOR,04/15/2017,TOR vs. MIL,L,242,83,27,75,36.0,5,23,21.7,24,33,72.7,8,39,47,15,3,4,10,21
TOR,04/12/2017,TOR @ CLE,W,239,98,40,86,46.5,8,26,30.8,10,16,62.5,12,36,48,20,8,2,8,20
TOR,04/09/2017,TOR @ NYK,W,240,110,40,77,51.9,10,31,32.3,20,23,87.0,5,36,41,20,8,1,10,14
TOR,04/07/2017,TOR vs. MIA,W,239,96,35,85,41.2,9,20,45.0,17,24,70.8,12,32,44,14,10,4,15,24
TOR,04/05/2017,TOR @ DET,W,241,105,41,87,47.1,10,30,33.3,13,15,86.7,7,29,36,29,7,2,11,14
TOR,04/04/2017,TOR @ IND,L,240,90,34,76,44.7,5,23,21.7,17,19,89.5,6,34,40,11,7,5,13,19
TOR,04/02/2017,TOR vs. PHI,W,241,113,46,85,54.1,6,19,31.6,15,19,78.9,10,27,37,25,12,9,15,19
TOR,03/31/2017,TOR vs. IND,W,240,111,37,82,45.1,14,27,51.9,23,35,65.7,16,37,53,23,7,5,14,23
TOR,03/29/2017,TOR vs. CHA,L,240,106,38,83,45.8,11,31,35.5,19,24,79.2,13,31,44,23,4,7,13,22
TOR,03/27/2017,TOR vs. ORL,W,240,131,49,83,59.0,10,15,66.7,23,35,65.7,9,34,43,24,7,8,15,25
TOR,03/25/2017,TOR @ DAL,W,241,94,39,81,48.1,9,21,42.9,7,9,77.8,12,32,44,22,9,3,14,21
TOR,03/23/2017,TOR @ MIA,W,240,101,35,79,44.3,6,23,26.1,25,32,78.1,11,40,51,10,9,3,17,21
TOR,03/21/2017,TOR vs. CHI,W,264,122,47,95,49.5,8,23,34.8,20,27,74.1,16,34,50,18,6,4,16,23
TOR,03/19/2017,TOR vs. IND,W,240,116,45,91,49.5,12,27,44.4,14,16,87.5,14,37,51,25,7,7,16,20
TOR,03/17/2017,TOR @ DET,W,239,87,30,78,38.5,9,27,33.3,18,20,90.0,8,45,53,19,5,2,12,21
TOR,03/16/2017,TOR vs. OKC,L,241,102,37,81,45.7,5,20,25.0,23,30,76.7,6,26,32,15,10,10,14,20
TOR,03/13/2017,TOR vs. DAL,W,239,100,37,78,47.4,9,25,36.0,17,18,94.4,9,46,55,19,7,6,12,16
TOR,03/11/2017,TOR @ MIA,L,239,89,33,88,37.5,2,15,13.3,21,25,84.0,16,32,48,7,6,5,12,20
TOR,03/10/2017,TOR @ ATL,L,240,99,37,92,40.2,4,25,16.0,21,27,77.8,16,30,46,19,17,5,11,28
TOR,03/08/2017,TOR @ NOP,W,241,94,36,76,47.4,8,21,38.1,14,23,60.9,8,34,42,21,6,6,11,18
TOR,03/04/2017,TOR @ MIL,L,239,94,35,75,46.7,7,21,33.3,17,20,85.0,3,33,36,20,2,4,11,23
TOR,03/03/2017,TOR @ WAS,W,241,114,41,81,50.6,11,25,44.0,21,27,77.8,11,40,51,16,5,9,17,23
TOR,03/01/2017,TOR vs. WAS,L,241,96,33,90,36.7,7,20,35.0,23,26,88.5,16,34,50,11,8,4,11,18
TOR,02/27/2017,TOR @ NYK,W,242,92,33,78,42.3,7,26,26.9,19,23,82.6,11,30,41,12,9,3,12,18
TOR,02/26/2017,TOR vs. POR,W,240,112,42,78,53.8,7,20,35.0,21,27,77.8,5,34,39,16,7,5,10,24
TOR,02/24/2017,TOR vs. BOS,W,241,107,40,81,49.4,5,15,33.3,22,29,75.9,10,31,41,15,7,4,9,21
TOR,02/15/2017,TOR vs. CHA,W,240,90,32,84,38.1,12,32,37.5,14,19,73.7,8,38,46,19,8,4,14,13
TOR,02/14/2017,TOR @ CHI,L,242,94,35,77,45.5,5,20,25.0,19,24,79.2,8,26,34,15,9,1,16,26
TOR,02/12/2017,TOR vs. DET,L,241,101,38,75,50.7,8,16,50.0,17,25,68.0,6,32,38,18,4,5,9,18
TOR,02/08/2017,TOR @ MIN,L,241,109,42,79,53.2,11,28,39.3,14,20,70.0,10,26,36,19,6,3,13,22
TOR,02/06/2017,TOR vs. LAC,W,239,118,41,84,48.8,10,24,41.7,26,29,89.7,11,36,47,20,6,1,9,23
TOR,02/05/2017,TOR @ BKN,W,239,103,40,87,46.0,5,19,26.3,18,20,90.0,8,37,45,21,8,4,11,18
TOR,02/03/2017,TOR @ ORL,L,242,94,34,87,39.1,10,28,35.7,16,21,76.2,13,31,44,15,5,5,11,21
TOR,02/01/2017,TOR @ BOS,L,240,104,41,78,52.6,8,31,25.8,14,25,56.0,8,33,41,17,6,5,15,29
TOR,01/31/2017,TOR vs. NOP,W,264,108,43,94,45.7,10,31,32.3,12,15,80.0,13,41,54,19,5,6,14,19
TOR,01/29/2017,TOR vs. ORL,L,240,113,36,79,45.6,12,28,42.9,29,36,80.6,9,31,40,19,8,3,11,20
TOR,01/27/2017,TOR vs. MIL,W,240,102,37,84,44.0,10,25,40.0,18,23,78.3,12,35,47,20,9,10,14,19
TOR,01/25/2017,TOR @ MEM,L,241,99,39,92,42.4,10,34,29.4,11,19,57.9,13,32,45,16,6,4,8,22
