TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
PHI,11/02/2016,PHI @ CHA,L,241,93,-16
CHA,11/02/2016,CHA vs. PHI,W,239,109,16
ATL,11/02/2016,ATL vs. LAL,L,241,116,-7
MEM,11/02/2016,MEM vs. NOP,W,266,89,6
LAL,11/02/2016,LAL @ ATL,W,240,123,7
BOS,11/02/2016,BOS vs. CHI,W,242,107,7
UTA,11/02/2016,UTA vs. DAL,W,240,97,16
OKC,11/02/2016,OKC @ LAC,W,242,85,2
WAS,11/02/2016,WAS vs. TOR,L,239,103,-10
TOR,11/02/2016,TOR @ WAS,W,241,113,10
PHX,11/02/2016,PHX vs. POR,W,266,118,3
CHI,11/02/2016,CHI @ BOS,L,240,100,-7
BKN,11/02/2016,BKN vs. DET,W,240,109,8
POR,11/02/2016,POR @ PHX,L,264,115,-3
HOU,11/02/2016,HOU @ NYK,W,240,118,19
NOP,11/02/2016,NOP @ MEM,L,265,83,-6
LAC,11/02/2016,LAC vs. OKC,L,241,83,-2
DET,11/02/2016,DET @ BKN,L,241,101,-8
OKC,11/03/2016,OKC @ GSW,L,239,96,-26
GSW,11/03/2016,GSW vs. OKC,W,241,122,26
ORL,11/03/2016,ORL vs. SAC,W,242,102,8
CLE,11/03/2016,CLE vs. BOS,W,240,128,6
MIN,11/03/2016,MIN vs. DEN,L,241,99,-3
DEN,11/03/2016,DEN @ MIN,W,240,102,3
SAC,11/03/2016,SAC @ ORL,L,239,94,-8
MIL,11/03/2016,MIL vs. IND,W,240,125,18
IND,11/03/2016,IND @ MIL,L,241,107,-18
BOS,11/03/2016,BOS @ CLE,L,240,122,-6
LAL,11/04/2016,LAL vs. GSW,W,240,117,20
CHI,11/04/2016,CHI vs. NYK,L,239,104,-13
NYK,11/04/2016,NYK @ CHI,W,241,117,13
BKN,11/04/2016,BKN vs. CHA,L,241,95,-4
LAC,11/04/2016,LAC @ MEM,W,240,99,11
POR,11/04/2016,POR @ DAL,W,239,105,10
GSW,11/04/2016,GSW @ LAL,L,240,97,-20
NOP,11/04/2016,NOP vs. PHX,L,266,111,-1
PHX,11/04/2016,PHX @ NOP,W,265,112,1
MEM,11/04/2016,MEM vs. LAC,L,239,88,-11
ATL,11/04/2016,ATL @ WAS,L,241,92,-3
SAS,11/04/2016,SAS @ UTA,W,239,100,14
TOR,11/04/2016,TOR vs. MIA,W,239,96,9
UTA,11/04/2016,UTA vs. SAS,L,239,86,-14
WAS,11/04/2016,WAS vs. ATL,W,241,95,3
MIA,11/04/2016,MIA @ TOR,L,241,87,-9
DAL,11/04/2016,DAL vs. POR,L,241,95,-10
CHA,11/04/2016,CHA @ BKN,W,240,99,4
CLE,11/05/2016,CLE @ PHI,W,241,102,1
MIN,11/05/2016,MIN @ OKC,L,239,92,-20
PHI,11/05/2016,PHI vs. CLE,L,239,101,-1
OKC,11/05/2016,OKC vs. MIN,W,240,112,20
ORL,11/05/2016,ORL vs. WAS,W,240,88,2
DET,11/05/2016,DET vs. DEN,W,239,103,17
HOU,11/05/2016,HOU @ ATL,L,240,97,-15
CHI,11/05/2016,CHI @ IND,L,242,94,-17
MIL,11/05/2016,MIL vs. SAC,W,241,117,26
IND,11/05/2016,IND vs. CHI,W,241,111,17
WAS,11/05/2016,WAS @ ORL,L,240,86,-2
LAC,11/05/2016,LAC @ SAS,W,240,116,24
ATL,11/05/2016,ATL vs. HOU,W,242,112,15
DEN,11/05/2016,DEN @ DET,L,241,86,-17
SAS,11/05/2016,SAS vs. LAC,L,241,92,-24
SAC,11/05/2016,SAC @ MIL,L,242,91,-26
PHX,11/06/2016,PHX @ LAL,L,239,108,-11
BOS,11/06/2016,BOS vs. DEN,L,240,107,-16
UTA,11/06/2016,UTA @ NYK,W,241,114,5
DEN,11/06/2016,DEN @ BOS,W,239,123,16
POR,11/06/2016,POR @ MEM,W,241,100,6
SAC,11/06/2016,SAC @ TOR,W,240,96,5
MIL,11/06/2016,MIL @ DAL,L,264,75,-11
DAL,11/06/2016,DAL vs. MIL,W,264,86,11
MEM,11/06/2016,MEM vs. POR,L,241,94,-6
LAL,11/06/2016,LAL vs. PHX,W,241,119,11
TOR,11/06/2016,TOR vs. SAC,L,239,91,-5
NYK,11/06/2016,NYK vs. UTA,L,239,109,-5
CHA,11/07/2016,CHA vs. IND,W,240,122,22
MIA,11/07/2016,MIA @ OKC,L,239,85,-12
ORL,11/07/2016,ORL @ CHI,L,242,80,-32
LAC,11/07/2016,LAC vs. DET,W,240,114,32
UTA,11/07/2016,UTA @ PHI,W,240,109,25
HOU,11/07/2016,HOU @ WAS,W,240,114,8
OKC,11/07/2016,OKC vs. MIA,W,239,97,12
NOP,11/07/2016,NOP @ GSW,L,240,106,-10
WAS,11/07/2016,WAS vs. HOU,L,239,106,-8
IND,11/07/2016,IND @ CHA,L,239,100,-22
CHI,11/07/2016,CHI vs. ORL,W,240,112,32
DET,11/07/2016,DET @ LAC,L,241,82,-32
PHI,11/07/2016,PHI vs. UTA,L,240,84,-25
