TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
GSW,05/06/2017,GSW @ UTA,W,240,102,11
UTA,05/06/2017,UTA vs. GSW,L,240,91,-11
TOR,05/07/2017,TOR vs. CLE,L,240,102,-7
BOS,05/07/2017,BOS @ WAS,L,239,102,-19
HOU,05/07/2017,HOU vs. SAS,W,241,125,21
SAS,05/07/2017,SAS @ HOU,L,241,104,-21
CLE,05/07/2017,CLE @ TOR,W,240,109,7
WAS,05/07/2017,WAS vs. BOS,W,240,121,19
UTA,05/08/2017,UTA vs. GSW,L,241,95,-26
GSW,05/08/2017,GSW @ UTA,W,240,121,26
HOU,05/09/2017,HOU @ SAS,L,265,107,-3
SAS,05/09/2017,SAS vs. HOU,W,265,110,3
BOS,05/10/2017,BOS vs. WAS,W,239,123,22
WAS,05/10/2017,WAS @ BOS,L,240,101,-22
SAS,05/11/2017,SAS @ HOU,W,239,114,39
HOU,05/11/2017,HOU vs. SAS,L,239,75,-39
WAS,05/12/2017,WAS vs. BOS,W,239,92,1
BOS,05/12/2017,BOS @ WAS,L,240,91,-1
SAS,05/14/2017,SAS @ GSW,L,240,111,-2
GSW,05/14/2017,GSW vs. SAS,W,241,113,2
BOS,05/15/2017,BOS vs. WAS,W,241,115,10
WAS,05/15/2017,WAS @ BOS,L,240,105,-10
GSW,05/16/2017,GSW vs. SAS,W,242,136,36
SAS,05/16/2017,SAS @ GSW,L,242,100,-36
BOS,05/17/2017,BOS vs. CLE,L,240,104,-13
CLE,05/17/2017,CLE @ BOS,W,240,117,13
BOS,05/19/2017,BOS vs. CLE,L,241,86,-44
CLE,05/19/2017,CLE @ BOS,W,241,130,44
SAS,05/20/2017,SAS vs. GSW,L,240,108,-12
GSW,05/20/2017,GSW @ SAS,W,241,120,12
BOS,05/21/2017,BOS @ CLE,W,239,111,3
CLE,05/21/2017,CLE vs. BOS,L,240,108,-3
SAS,05/22/2017,SAS vs. GSW,L,240,115,-14
GSW,05/22/2017,GSW @ SAS,W,240,129,14
CLE,05/23/2017,CLE vs. BOS,W,238,112,13
BOS,05/23/2017,BOS @ CLE,L,240,99,-13
BOS,05/25/2017,BOS vs. CLE,L,240,102,-33
CLE,05/25/2017,CLE @ BOS,W,240,135,33
GSW,06/01/2017,GSW vs. CLE,W,238,113,22
CLE,06/01/2017,CLE @ GSW,L,240,91,-22
CLE,06/04/2017,CLE @ GSW,L,239,113,-19
GSW,06/04/2017,GSW vs. CLE,W,240,132,19
GSW,06/07/2017,GSW @ CLE,W,241,118,5
CLE,06/07/2017,CLE vs. GSW,L,240,113,-5
CLE,06/09/2017,CLE vs. GSW,W,240,137,19
GSW,06/09/2017,GSW @ CLE,L,241,116,-19
CLE,06/12/2017,CLE @ GSW,L,240,120,-9
GSW,06/12/2017,GSW vs. CLE,W,241,129,9
