DeMarre Carroll,BKN,10/18/2017,BKN @ IND,L,28,10,-10
Maurice Harkless,POR,10/18/2017,POR @ PHX,W,26,8,22
TJ Warren,PHX,10/18/2017,PHX vs. POR,L,28,8,-42
Emmanuel Mudiay,DEN,10/18/2017,DEN @ UTA,L,19,8,-12
Mario Chalmers,MEM,10/18/2017,MEM vs. NOP,W,26,5,11
Ben Simmons,PHI,10/18/2017,PHI @ WAS,L,35,18,3
Rudy Gay,SAS,10/18/2017,SAS vs. MIN,W,24,14,3
DeAndre' Bembry,ATL,10/18/2017,ATL @ DAL,W,18,6,13
Rodney Hood,UTA,10/18/2017,UTA vs. DEN,W,18,6,-13
Ekpe Udoh,UTA,10/18/2017,UTA vs. DEN,W,13,2,24
James Johnson,MIA,10/18/2017,MIA @ ORL,L,19,11,6
Thabo Sefolosha,UTA,10/18/2017,UTA vs. DEN,W,21,7,25
Harrison Barnes,DAL,10/18/2017,DAL vs. ATL,L,38,14,1
Dario Saric,PHI,10/18/2017,PHI @ WAS,L,23,3,-9
Will Barton,DEN,10/18/2017,DEN @ UTA,L,31,23,-10
Jarell Martin,MEM,10/18/2017,MEM vs. NOP,W,19,2,4
JJ Redick,PHI,10/18/2017,PHI @ WAS,L,32,12,17
D.J. Augustin,ORL,10/18/2017,ORL vs. MIA,W,16,7,-2
Jeremy Lamb,CHA,10/18/2017,CHA @ DET,L,28,15,-10
Jon Leuer,DET,10/18/2017,DET vs. CHA,W,19,4,6
Ian Mahinmi,WAS,10/18/2017,WAS vs. PHI,W,14,6,-11
Thon Maker,MIL,10/18/2017,MIL @ BOS,W,14,2,-8
Donovan Mitchell,UTA,10/18/2017,UTA vs. DEN,W,26,10,22
Willie Cauley-Stein,SAC,10/18/2017,SAC vs. HOU,L,32,21,1
Pau Gasol,SAS,10/18/2017,SAS vs. MIN,W,29,7,6
Marquese Chriss,PHX,10/18/2017,PHX vs. POR,L,12,2,-17
Wilson Chandler,DEN,10/18/2017,DEN @ UTA,L,34,9,-23
Tony Allen,NOP,10/18/2017,NOP @ MEM,L,11,0,-4
Langston Galloway,DET,10/18/2017,DET vs. CHA,W,25,16,2
Marc Gasol,MEM,10/18/2017,MEM vs. NOP,W,29,14,8
Giannis Antetokounmpo,MIL,10/18/2017,MIL @ BOS,W,37,37,7
Jaylen Brown,BOS,10/18/2017,BOS vs. MIL,L,28,18,0
Yogi Ferrell,DAL,10/18/2017,DAL vs. ATL,L,32,9,-9
Josh Magette,ATL,10/18/2017,ATL @ DAL,W,4,3,9
Marco Belinelli,ATL,10/18/2017,ATL @ DAL,W,26,20,14
Jrue Holiday,NOP,10/18/2017,NOP @ MEM,L,39,4,-2
Aaron Gordon,ORL,10/18/2017,ORL vs. MIA,W,34,14,10
Marcus Smart,BOS,10/18/2017,BOS vs. MIL,L,32,12,-4
Malik Beasley,DEN,10/18/2017,DEN @ UTA,L,2,0,6
Dragan Bender,PHX,10/18/2017,PHX vs. POR,L,21,2,-10
Shabazz Napier,POR,10/18/2017,POR @ PHX,W,23,10,17
Paul Millsap,DEN,10/18/2017,DEN @ UTA,L,34,19,-6
Kemba Walker,CHA,10/18/2017,CHA @ DET,L,35,24,-11
Luke Babbitt,ATL,10/18/2017,ATL @ DAL,W,9,5,17
Thaddeus Young,IND,10/18/2017,IND vs. BKN,W,33,17,13
Nene,HOU,10/18/2017,HOU @ SAC,W,18,9,-1
Cody Zeller,CHA,10/18/2017,CHA @ DET,L,23,8,-4
Darius Miller,NOP,10/18/2017,NOP @ MEM,L,17,0,-12
Joe Ingles,UTA,10/18/2017,UTA vs. DEN,W,33,11,-6
Avery Bradley,DET,10/18/2017,DET vs. CHA,W,23,15,10
George Hill,SAC,10/18/2017,SAC vs. HOU,L,33,16,2
TJ Leaf,IND,10/18/2017,IND vs. BKN,W,10,0,-3
Jerryd Bayless,PHI,10/18/2017,PHI @ WAS,L,28,13,11
Kelly Olynyk,MIA,10/18/2017,MIA @ ORL,L,21,10,-10
Eric Gordon,HOU,10/18/2017,HOU @ SAC,W,35,25,14
Patty Mills,SAS,10/18/2017,SAS vs. MIN,W,22,3,6
John Collins,ATL,10/18/2017,ATL @ DAL,W,22,14,8
Dejounte Murray,SAS,10/18/2017,SAS vs. MIN,W,25,16,4
Anthony Davis,NOP,10/18/2017,NOP @ MEM,L,40,33,-15
Kent Bazemore,ATL,10/18/2017,ATL @ DAL,W,27,7,-5
Kosta Koufos,SAC,10/18/2017,SAC vs. HOU,L,18,2,-5
Josh Jackson,PHX,10/18/2017,PHX vs. POR,L,32,11,-23
Kyrie Irving,BOS,10/18/2017,BOS vs. MIL,L,39,17,-2
Spencer Dinwiddie,BKN,10/18/2017,BKN @ IND,L,17,2,-6
Hassan Whiteside,MIA,10/18/2017,MIA @ ORL,L,36,26,-5
Mike Conley,MEM,10/18/2017,MEM vs. NOP,W,33,27,8
Nikola Vucevic,ORL,10/18/2017,ORL vs. MIA,W,32,19,11
T.J. McConnell,PHI,10/18/2017,PHI @ WAS,L,15,2,-14
Mirza Teletovic,MIL,10/18/2017,MIL @ BOS,W,11,0,0
Abdel Nader,BOS,10/18/2017,BOS vs. MIL,L,11,4,-4
Dorian Finney-Smith,DAL,10/18/2017,DAL vs. ATL,L,11,2,-5
Devin Harris,DAL,10/18/2017,DAL vs. ATL,L,16,10,3
Joe Johnson,UTA,10/18/2017,UTA vs. DEN,W,20,13,6
Juancho Hernangomez,DEN,10/18/2017,DEN @ UTA,L,6,0,1
Jamal Murray,DEN,10/18/2017,DEN @ UTA,L,20,8,9
Trey Lyles,DEN,10/18/2017,DEN @ UTA,L,2,0,6
Tyler Johnson,MIA,10/18/2017,MIA @ ORL,L,21,7,1
Terrence Ross,ORL,10/18/2017,ORL vs. MIA,W,31,15,18
Mike Scott,WAS,10/18/2017,WAS vs. PHI,W,15,7,-9
Amir Johnson,PHI,10/18/2017,PHI @ WAS,L,15,5,-7
Rondae Hollis-Jefferson,BKN,10/18/2017,BKN @ IND,L,28,14,-10
Trevor Ariza,HOU,10/18/2017,HOU @ SAC,W,32,2,-6
De'Aaron Fox,SAC,10/18/2017,SAC vs. HOU,L,24,14,-7
J.J. Barea,DAL,10/18/2017,DAL vs. ATL,L,18,13,-9
Jordan Crawford,NOP,10/18/2017,NOP @ MEM,L,13,5,-10
Marvin Williams,CHA,10/18/2017,CHA @ DET,L,27,7,-10
Domantas Sabonis,IND,10/18/2017,IND vs. BKN,W,19,16,-4
Ish Smith,DET,10/18/2017,DET vs. CHA,W,21,4,2
Brandon Paul,SAS,10/18/2017,SAS vs. MIN,W,0,0,-2
Nerlens Noel,DAL,10/18/2017,DAL vs. ATL,L,20,16,9
Trevor Booker,BKN,10/18/2017,BKN @ IND,L,28,20,1
Josh Richardson,MIA,10/18/2017,MIA @ ORL,L,35,10,3
Rashad Vaughn,MIL,10/18/2017,MIL @ BOS,W,3,0,0
Garrett Temple,SAC,10/18/2017,SAC vs. HOU,L,30,5,1
Wayne Ellington,MIA,10/18/2017,MIA @ ORL,L,10,3,-5
Treveon Graham,CHA,10/18/2017,CHA @ DET,L,17,5,8
Gorgui Dieng,MIN,10/18/2017,MIN @ SAS,L,14,2,-8
Al-Farouq Aminu,POR,10/18/2017,POR @ PHX,W,28,5,34
Alec Peters,PHX,10/18/2017,PHX vs. POR,L,11,3,1
Jonathan Isaac,ORL,10/18/2017,ORL vs. MIA,W,17,4,-1
Danny Green,SAS,10/18/2017,SAS vs. MIN,W,33,17,11
Davis Bertans,SAS,10/18/2017,SAS vs. MIN,W,4,0,-6
Reggie Jackson,DET,10/18/2017,DET vs. CHA,W,27,13,10
Semi Ojeleye,BOS,10/18/2017,BOS vs. MIL,L,12,3,0
Evan Turner,POR,10/18/2017,POR @ PHX,W,25,12,43
Jusuf Nurkic,POR,10/18/2017,POR @ PHX,W,23,11,20
Malik Monk,CHA,10/18/2017,CHA @ DET,L,21,3,-8
Robert Covington,PHI,10/18/2017,PHI @ WAS,L,29,29,10
Nemanja Bjelica,MIN,10/18/2017,MIN @ SAS,L,13,9,15
DeMarcus Cousins,NOP,10/18/2017,NOP @ MEM,L,38,28,6
Bismack Biyombo,ORL,10/18/2017,ORL vs. MIA,W,16,9,-2
Derrick White,SAS,10/18/2017,SAS vs. MIN,W,0,0,-2
Rudy Gobert,UTA,10/18/2017,UTA vs. DEN,W,35,18,-14
Derrick Favors,UTA,10/18/2017,UTA vs. DEN,W,28,14,4
Vince Carter,SAC,10/18/2017,SAC vs. HOU,L,14,6,-6
Mason Plumlee,DEN,10/18/2017,DEN @ UTA,L,16,6,-14
Tyler Ulis,PHX,10/18/2017,PHX vs. POR,L,15,1,-16
Jonathon Simmons,ORL,10/18/2017,ORL vs. MIA,W,28,12,-10
Caleb Swanigan,POR,10/18/2017,POR @ PHX,W,18,8,6
