PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Shaun Livingston,GSW,10/25/2016,GSW vs. SAS,L,13,2,-15
Sasha Vujacic,NYK,10/25/2016,NYK @ CLE,L,3,1,-5
Kevon Looney,GSW,10/25/2016,GSW vs. SAS,L,4,0,-6
Bryn Forbes,SAS,10/25/2016,SAS @ GSW,W,4,0,6
Draymond Green,GSW,10/25/2016,GSW vs. SAS,L,33,18,-5
Derrick Rose,NYK,10/25/2016,NYK @ CLE,L,30,17,-19
Kevin Love,CLE,10/25/2016,CLE vs. NYK,W,25,23,24
Lance Thomas,NYK,10/25/2016,NYK @ CLE,L,17,2,-11
Jeff Withey,UTA,10/25/2016,UTA @ POR,L,5,0,-11
Maurice Harkless,POR,10/25/2016,POR vs. UTA,W,22,0,-13
Justin Holiday,NYK,10/25/2016,NYK @ CLE,L,26,8,-14
Courtney Lee,NYK,10/25/2016,NYK @ CLE,L,20,0,-19
Tony Parker,SAS,10/25/2016,SAS @ GSW,W,26,9,-12
Trey Lyles,UTA,10/25/2016,UTA @ POR,L,18,5,-11
CJ McCollum,POR,10/25/2016,POR vs. UTA,W,35,25,12
Nicolas Laprovittola,SAS,10/25/2016,SAS @ GSW,W,4,0,6
Patty Mills,SAS,10/25/2016,SAS @ GSW,W,18,11,35
Zaza Pachulia,GSW,10/25/2016,GSW vs. SAS,L,20,2,-3
Mason Plumlee,POR,10/25/2016,POR vs. UTA,W,15,2,-7
Allen Crabbe,POR,10/25/2016,POR vs. UTA,W,29,18,14
Kristaps Porzingis,NYK,10/25/2016,NYK @ CLE,L,33,16,-21
Kyle O'Quinn,NYK,10/25/2016,NYK @ CLE,L,15,2,-10
Dante Exum,UTA,10/25/2016,UTA @ POR,L,8,5,-18
Patrick McCaw,GSW,10/25/2016,GSW vs. SAS,L,9,2,-4
LaMarcus Aldridge,SAS,10/25/2016,SAS @ GSW,W,35,26,10
Mindaugas Kuzminskas,NYK,10/25/2016,NYK @ CLE,L,9,7,-4
Joe Johnson,UTA,10/25/2016,UTA @ POR,L,31,29,-2
Evan Turner,POR,10/25/2016,POR vs. UTA,W,26,3,10
Willy Hernangomez,NYK,10/25/2016,NYK @ CLE,L,9,4,-3
Richard Jefferson,CLE,10/25/2016,CLE vs. NYK,W,26,13,18
Ian Clark,GSW,10/25/2016,GSW vs. SAS,L,13,5,-29
JR Smith,CLE,10/25/2016,CLE vs. NYK,W,25,8,13
Rudy Gobert,UTA,10/25/2016,UTA @ POR,L,41,12,7
Ed Davis,POR,10/25/2016,POR vs. UTA,W,24,6,21
Stephen Curry,GSW,10/25/2016,GSW vs. SAS,L,34,26,-9
Dewayne Dedmon,SAS,10/25/2016,SAS @ GSW,W,17,2,29
Kevin Durant,GSW,10/25/2016,GSW vs. SAS,L,37,27,-13
Brandon Jennings,NYK,10/25/2016,NYK @ CLE,L,21,7,-14
Pau Gasol,SAS,10/25/2016,SAS @ GSW,W,18,2,-13
Joe Ingles,UTA,10/25/2016,UTA @ POR,L,14,2,-9
Anderson Varejao,GSW,10/25/2016,GSW vs. SAS,L,3,1,-8
Shelvin Mack,UTA,10/25/2016,UTA @ POR,L,15,4,-9
Boris Diaw,UTA,10/25/2016,UTA @ POR,L,32,2,1
Damian Lillard,POR,10/25/2016,POR vs. UTA,W,35,39,1
Chris Andersen,CLE,10/25/2016,CLE vs. NYK,W,6,2,1
George Hill,UTA,10/25/2016,UTA @ POR,L,39,19,2
Kyrie Irving,CLE,10/25/2016,CLE vs. NYK,W,30,29,13
Kawhi Leonard,SAS,10/25/2016,SAS @ GSW,W,32,35,14
Joakim Noah,NYK,10/25/2016,NYK @ CLE,L,20,0,-1
Carmelo Anthony,NYK,10/25/2016,NYK @ CLE,L,30,19,-19
David West,GSW,10/25/2016,GSW vs. SAS,L,11,2,-13
LeBron James,CLE,10/25/2016,CLE vs. NYK,W,32,19,26
Manu Ginobili,SAS,10/25/2016,SAS @ GSW,W,21,10,22
James Jones,CLE,10/25/2016,CLE vs. NYK,W,6,5,1
JaVale McGee,GSW,10/25/2016,GSW vs. SAS,L,4,2,-6
Kyle Anderson,SAS,10/25/2016,SAS @ GSW,W,22,3,-4
Davis Bertans,SAS,10/25/2016,SAS @ GSW,W,4,5,6
Channing Frye,CLE,10/25/2016,CLE vs. NYK,W,14,6,7
Tristan Thompson,CLE,10/25/2016,CLE vs. NYK,W,22,0,16
Iman Shumpert,CLE,10/25/2016,CLE vs. NYK,W,14,2,-5
DeAndre Liggins,CLE,10/25/2016,CLE vs. NYK,W,12,4,11
Jonathon Simmons,SAS,10/25/2016,SAS @ GSW,W,28,20,33
Mike Dunleavy,CLE,10/25/2016,CLE vs. NYK,W,23,4,19
Al-Farouq Aminu,POR,10/25/2016,POR vs. UTA,W,28,9,0
Jordan McRae,CLE,10/25/2016,CLE vs. NYK,W,6,2,1
Andre Iguodala,GSW,10/25/2016,GSW vs. SAS,L,27,2,-28
David Lee,SAS,10/25/2016,SAS @ GSW,W,11,6,13
Klay Thompson,GSW,10/25/2016,GSW vs. SAS,L,33,11,-6
Rodney Hood,UTA,10/25/2016,UTA @ POR,L,38,26,5
Meyers Leonard,POR,10/25/2016,POR vs. UTA,W,9,0,-7
Ron Baker,NYK,10/25/2016,NYK @ CLE,L,7,5,-5
Noah Vonleh,POR,10/25/2016,POR vs. UTA,W,16,11,14
Wade Baldwin IV,MEM,10/26/2016,MEM vs. MIN,W,25,7,3
Marquese Chriss,PHX,10/26/2016,PHX vs. SAC,L,22,7,-10
DeMarre Carroll,TOR,10/26/2016,TOR vs. DET,W,29,8,21
Marcelo Huertas,LAL,10/26/2016,LAL vs. HOU,W,5,0,5
Semaj Christon,OKC,10/26/2016,OKC @ PHI,W,15,4,-10
E'Twaun Moore,NOP,10/26/2016,NOP vs. DEN,L,28,10,10
JaMychal Green,MEM,10/26/2016,MEM vs. MIN,W,29,12,4
Kyle Lowry,TOR,10/26/2016,TOR vs. DET,W,38,10,2
Pascal Siakam,TOR,10/26/2016,TOR vs. DET,W,22,4,16
Arron Afflalo,SAC,10/26/2016,SAC @ PHX,W,26,8,6
Jerami Grant,PHI,10/26/2016,PHI vs. OKC,L,22,10,1
Marc Gasol,MEM,10/26/2016,MEM vs. MIN,W,32,18,4
Tyler Ulis,PHX,10/26/2016,PHX vs. SAC,L,14,2,6
Zach LaVine,MIN,10/26/2016,MIN @ MEM,L,34,19,-4
Norman Powell,TOR,10/26/2016,TOR vs. DET,W,2,0,1
Jon Leuer,DET,10/26/2016,DET @ TOR,L,23,9,-12
Amir Johnson,BOS,10/26/2016,BOS vs. BKN,W,20,8,5
Lavoy Allen,IND,10/26/2016,IND vs. DAL,W,11,2,-5
Alex Abrines,OKC,10/26/2016,OKC @ PHI,W,13,3,3
Gerald Henderson,PHI,10/26/2016,PHI vs. OKC,L,25,9,-5
Thaddeus Young,IND,10/26/2016,IND vs. DAL,W,34,11,8
Nicolas Brussino,DAL,10/26/2016,DAL @ IND,L,1,0,0
Dante Cunningham,NOP,10/26/2016,NOP vs. DEN,L,8,0,1
DeMarcus Cousins,SAC,10/26/2016,SAC @ PHX,W,25,24,13
Justise Winslow,MIA,10/26/2016,MIA @ ORL,W,34,15,15
Evan Fournier,ORL,10/26/2016,ORL vs. MIA,L,39,20,-3
Nikola Vucevic,ORL,10/26/2016,ORL vs. MIA,L,36,17,0
Matthew Dellavedova,MIL,10/26/2016,MIL vs. CHA,L,29,11,-13
Kris Dunn,MIN,10/26/2016,MIN @ MEM,L,15,8,-6
Jakob Poeltl,TOR,10/26/2016,TOR vs. DET,W,13,2,-4
Steven Adams,OKC,10/26/2016,OKC @ PHI,W,36,16,11
DeMar DeRozan,TOR,10/26/2016,TOR vs. DET,W,34,40,21
Eric Gordon,HOU,10/26/2016,HOU @ LAL,L,34,19,-14
Roy Hibbert,CHA,10/26/2016,CHA @ MIL,W,32,15,12
Devin Booker,PHX,10/26/2016,PHX vs. SAC,L,25,18,-5
Omri Casspi,SAC,10/26/2016,SAC @ PHX,W,9,4,7
Ricky Rubio,MIN,10/26/2016,MIN @ MEM,L,33,4,-1
Ryan Anderson,HOU,10/26/2016,HOU @ LAL,L,34,14,-2
Trevor Booker,BKN,10/26/2016,BKN @ BOS,L,24,8,5
Hassan Whiteside,MIA,10/26/2016,MIA @ ORL,W,31,18,5
Rondae Hollis-Jefferson,BKN,10/26/2016,BKN @ BOS,L,24,5,-9
Anthony Davis,NOP,10/26/2016,NOP vs. DEN,L,41,50,-3
Stanley Johnson,DET,10/26/2016,DET @ TOR,L,14,2,0
Rashad Vaughn,MIL,10/26/2016,MIL vs. CHA,L,8,2,-13
Jaylen Brown,BOS,10/26/2016,BOS vs. BKN,W,19,9,0
Karl-Anthony Towns,MIN,10/26/2016,MIN @ MEM,L,36,21,-13
Paul George,IND,10/26/2016,IND vs. DAL,W,43,25,24
Anthony Tolliver,SAC,10/26/2016,SAC @ PHX,W,15,6,-7
Tarik Black,LAL,10/26/2016,LAL vs. HOU,W,12,4,1
Justin Anderson,DAL,10/26/2016,DAL @ IND,L,19,7,2
Sam Dekker,HOU,10/26/2016,HOU @ LAL,L,14,4,-4
Luke Babbitt,MIA,10/26/2016,MIA @ ORL,W,19,8,12
Danilo Gallinari,DEN,10/26/2016,DEN @ NOP,W,38,15,3
Trevor Ariza,HOU,10/26/2016,HOU @ LAL,L,33,5,-3
Joe Harris,BKN,10/26/2016,BKN @ BOS,L,25,16,3
Malachi Richardson,SAC,10/26/2016,SAC @ PHX,W,2,0,-4
Gerald Green,BOS,10/26/2016,BOS vs. BKN,W,15,9,-9
Andre Drummond,DET,10/26/2016,DET @ TOR,L,24,16,-8
Jordan Clarkson,LAL,10/26/2016,LAL vs. HOU,W,25,25,6
Timofey Mozgov,LAL,10/26/2016,LAL vs. HOU,W,22,12,3
Jabari Parker,MIL,10/26/2016,MIL vs. CHA,L,30,13,-12
Terrence Jones,NOP,10/26/2016,NOP vs. DEN,L,18,6,-14
Cody Zeller,CHA,10/26/2016,CHA @ MIL,W,14,15,-3
Dirk Nowitzki,DAL,10/26/2016,DAL @ IND,L,38,22,-1
Vince Carter,MEM,10/26/2016,MEM vs. MIN,W,28,3,10
T.J. McConnell,PHI,10/26/2016,PHI vs. OKC,L,16,0,-14
Spencer Hawes,CHA,10/26/2016,CHA @ MIL,W,13,4,-7
Rodney McGruder,MIA,10/26/2016,MIA @ ORL,W,24,6,15
Bojan Bogdanovic,BKN,10/26/2016,BKN @ BOS,L,23,21,2
Tim Frazier,NOP,10/26/2016,NOP vs. DEN,L,37,15,0
Will Barton,DEN,10/26/2016,DEN @ NOP,W,35,22,-3
Cory Joseph,TOR,10/26/2016,TOR vs. DET,W,22,6,12
KJ McDaniels,HOU,10/26/2016,HOU @ LAL,L,12,11,1
Jae Crowder,BOS,10/26/2016,BOS vs. BKN,W,29,21,3
Marvin Williams,CHA,10/26/2016,CHA @ MIL,W,29,13,19
Jared Dudley,PHX,10/26/2016,PHX vs. SAC,L,26,4,-9
Patrick Patterson,TOR,10/26/2016,TOR vs. DET,W,26,3,2
Sergio Rodriguez,PHI,10/26/2016,PHI vs. OKC,L,32,12,10
Avery Bradley,BOS,10/26/2016,BOS vs. BKN,W,34,17,3
Goran Dragic,MIA,10/26/2016,MIA @ ORL,W,29,16,-2
Dario Saric,PHI,10/26/2016,PHI vs. OKC,L,27,5,-2
Leandro Barbosa,PHX,10/26/2016,PHX vs. SAC,L,3,0,-15
Kenneth Faried,DEN,10/26/2016,DEN @ NOP,W,28,9,2
Isaiah Thomas,BOS,10/26/2016,BOS vs. BKN,W,33,25,15
Mirza Teletovic,MIL,10/26/2016,MIL vs. CHA,L,27,6,-8
Joe Young,IND,10/26/2016,IND vs. DAL,W,3,0,1
Zach Randolph,MEM,10/26/2016,MEM vs. MIN,W,25,19,-1
Nene,HOU,10/26/2016,HOU @ LAL,L,22,7,-14
Larry Nance Jr.,LAL,10/26/2016,LAL vs. HOU,W,23,5,7
Tyler Zeller,BOS,10/26/2016,BOS vs. BKN,W,16,13,-9
Ben McLemore,SAC,10/26/2016,SAC @ PHX,W,17,6,21
Andre Roberson,OKC,10/26/2016,OKC @ PHI,W,32,1,10
Garrett Temple,SAC,10/26/2016,SAC @ PHX,W,18,12,7
Ty Lawson,SAC,10/26/2016,SAC @ PHX,W,36,9,2
Luis Scola,BKN,10/26/2016,BKN @ BOS,L,22,8,-19
Richaun Holmes,PHI,10/26/2016,PHI vs. OKC,L,12,6,1
Willie Cauley-Stein,SAC,10/26/2016,SAC @ PHX,W,19,6,0
Nikola Jokic,DEN,10/26/2016,DEN @ NOP,W,21,5,5
Victor Oladipo,OKC,10/26/2016,OKC @ PHI,W,26,10,-7
Domantas Sabonis,OKC,10/26/2016,OKC @ PHI,W,16,5,-10
Giannis Antetokounmpo,MIL,10/26/2016,MIL vs. CHA,L,39,31,-5
Terry Rozier,BOS,10/26/2016,BOS vs. BKN,W,28,5,2
Jeff Green,ORL,10/26/2016,ORL vs. MIA,L,25,7,-8
Nik Stauskas,PHI,10/26/2016,PHI vs. OKC,L,23,13,-1
Michael Gbinije,DET,10/26/2016,DET @ TOR,L,2,2,-1
Greg Monroe,MIL,10/26/2016,MIL vs. CHA,L,29,14,2
Alexis Ajinca,NOP,10/26/2016,NOP vs. DEN,L,11,0,-4
Buddy Hield,NOP,10/26/2016,NOP vs. DEN,L,17,4,-12
Shabazz Muhammad,MIN,10/26/2016,MIN @ MEM,L,14,2,1
Isaiah Whitehead,BKN,10/26/2016,BKN @ BOS,L,4,0,12
Ramon Sessions,CHA,10/26/2016,CHA @ MIL,W,13,4,-4
Malcolm Brogdon,MIL,10/26/2016,MIL vs. CHA,L,21,8,0
Jamal Murray,DEN,10/26/2016,DEN @ NOP,W,13,1,8
Langston Galloway,NOP,10/26/2016,NOP vs. DEN,L,11,5,-3
Brandon Knight,PHX,10/26/2016,PHX vs. SAC,L,26,7,-19
Terrence Ross,TOR,10/26/2016,TOR vs. DET,W,19,4,-3
Andrew Harrison,MEM,10/26/2016,MEM vs. MIN,W,38,4,8
Nicolas Batum,CHA,10/26/2016,CHA @ MIL,W,34,9,18
Nemanja Bjelica,MIN,10/26/2016,MIN @ MEM,L,15,3,0
Nick Young,LAL,10/26/2016,LAL vs. HOU,W,27,8,-6
Lance Stephenson,NOP,10/26/2016,NOP vs. DEN,L,26,8,-4
Hollis Thompson,PHI,10/26/2016,PHI vs. OKC,L,13,4,-10
Dorian Finney-Smith,DAL,10/26/2016,DAL @ IND,L,0,0,-2
TJ Warren,PHX,10/26/2016,PHX vs. SAC,L,30,14,-15
CJ Miles,IND,10/26/2016,IND vs. DAL,W,13,8,-2
Brandon Ingram,LAL,10/26/2016,LAL vs. HOU,W,24,9,10
J.J. Barea,DAL,10/26/2016,DAL @ IND,L,39,22,2
Lou Williams,LAL,10/26/2016,LAL vs. HOU,W,14,12,17
Wesley Matthews,DAL,10/26/2016,DAL @ IND,L,40,13,-17
Cole Aldrich,MIN,10/26/2016,MIN @ MEM,L,10,4,5
Marcus Morris,DET,10/26/2016,DET @ TOR,L,32,17,-8
Dwight Powell,DAL,10/26/2016,DAL @ IND,L,16,0,1
Michael Beasley,MIL,10/26/2016,MIL vs. CHA,L,19,2,2
Harrison Barnes,DAL,10/26/2016,DAL @ IND,L,35,19,-5
Russell Westbrook,OKC,10/26/2016,OKC @ PHI,W,36,32,8
Willie Reed,MIA,10/26/2016,MIA @ ORL,W,17,10,7
Metta World Peace,LAL,10/26/2016,LAL vs. HOU,W,2,0,-1
Kemba Walker,CHA,10/26/2016,CHA @ MIL,W,35,17,15
Tyson Chandler,PHX,10/26/2016,PHX vs. SAC,L,23,8,-2
Marco Belinelli,CHA,10/26/2016,CHA @ MIL,W,26,7,5
Al Jefferson,IND,10/26/2016,IND vs. DAL,W,11,7,-3
Eric Bledsoe,PHX,10/26/2016,PHX vs. SAC,L,29,16,-9
Jonas Valanciunas,TOR,10/26/2016,TOR vs. DET,W,35,32,22
Luol Deng,LAL,10/26/2016,LAL vs. HOU,W,28,7,1
Monta Ellis,IND,10/26/2016,IND vs. DAL,W,44,19,24
D'Angelo Russell,LAL,10/26/2016,LAL vs. HOU,W,29,20,-5
Jameer Nelson,DEN,10/26/2016,DEN @ NOP,W,20,9,6
Elfrid Payton,ORL,10/26/2016,ORL vs. MIA,L,38,16,-4
Seth Curry,DAL,10/26/2016,DAL @ IND,L,16,7,7
Mario Hezonja,ORL,10/26/2016,ORL vs. MIA,L,14,3,-7
Aron Baynes,DET,10/26/2016,DET @ TOR,L,15,8,-7
Kentavious Caldwell-Pope,DET,10/26/2016,DET @ TOR,L,39,4,-15
Andrew Bogut,DAL,10/26/2016,DAL @ IND,L,20,6,-19
Kyle Singler,OKC,10/26/2016,OKC @ PHI,W,22,5,8
Tyler Johnson,MIA,10/26/2016,MIA @ ORL,W,28,15,3
Jeremy Lin,BKN,10/26/2016,BKN @ BOS,L,28,18,-3
PJ Tucker,PHX,10/26/2016,PHX vs. SAC,L,6,0,-14
Emmanuel Mudiay,DEN,10/26/2016,DEN @ NOP,W,28,11,-1
Al Horford,BOS,10/26/2016,BOS vs. BKN,W,27,11,13
Chris McCullough,BKN,10/26/2016,BKN @ BOS,L,4,2,14
Myles Turner,IND,10/26/2016,IND vs. DAL,W,37,30,25
Robert Covington,PHI,10/26/2016,PHI vs. OKC,L,32,10,4
Boban Marjanovic,DET,10/26/2016,DET @ TOR,L,5,0,1
Jeff Teague,IND,10/26/2016,IND vs. DAL,W,37,20,-4
Rodney Stuckey,IND,10/26/2016,IND vs. DAL,W,22,8,-8
Kosta Koufos,SAC,10/26/2016,SAC @ PHX,W,13,2,12
Julius Randle,LAL,10/26/2016,LAL vs. HOU,W,29,18,-8
James Johnson,MIA,10/26/2016,MIA @ ORL,W,25,11,0
Jeremy Lamb,CHA,10/26/2016,CHA @ MIL,W,9,0,-10
Andrew Wiggins,MIN,10/26/2016,MIN @ MEM,L,34,25,-5
Wilson Chandler,DEN,10/26/2016,DEN @ NOP,W,30,12,5
Henry Ellenson,DET,10/26/2016,DET @ TOR,L,2,0,-1
Jason Terry,MIL,10/26/2016,MIL vs. CHA,L,18,5,5
Deron Williams,DAL,10/26/2016,DAL @ IND,L,40,25,-9
Jonas Jerebko,BOS,10/26/2016,BOS vs. BKN,W,19,4,2
James Ennis III,MEM,10/26/2016,MEM vs. MIN,W,28,15,-12
Solomon Hill,NOP,10/26/2016,NOP vs. DEN,L,27,2,1
Sean Kilpatrick,BKN,10/26/2016,BKN @ BOS,L,22,13,-7
Enes Kanter,OKC,10/26/2016,OKC @ PHI,W,24,17,9
Omer Asik,NOP,10/26/2016,NOP vs. DEN,L,17,2,3
Gorgui Dieng,MIN,10/26/2016,MIN @ MEM,L,34,12,0
Ish Smith,DET,10/26/2016,DET @ TOR,L,33,6,-19
John Henson,MIL,10/26/2016,MIL vs. CHA,L,10,4,-3
Alex Len,PHX,10/26/2016,PHX vs. SAC,L,24,8,-13
Brook Lopez,BKN,10/26/2016,BKN @ BOS,L,21,7,-10
Aaron Gordon,ORL,10/26/2016,ORL vs. MIA,L,35,12,-11
Jusuf Nurkic,DEN,10/26/2016,DEN @ NOP,W,26,23,2
Dion Waiters,MIA,10/26/2016,MIA @ ORL,W,34,9,5
Serge Ibaka,ORL,10/26/2016,ORL vs. MIA,L,36,14,-16
Rudy Gay,SAC,10/26/2016,SAC @ PHX,W,33,22,26
Juan Hernangomez,DEN,10/26/2016,DEN @ NOP,W,1,0,-2
Glenn Robinson III,IND,10/26/2016,IND vs. DAL,W,10,0,-15
Greivis Vasquez,BKN,10/26/2016,BKN @ BOS,L,18,0,-13
Ersan Ilyasova,OKC,10/26/2016,OKC @ PHI,W,20,10,-2
D.J. Augustin,ORL,10/26/2016,ORL vs. MIA,L,17,7,-11
Brandon Rush,MIN,10/26/2016,MIN @ MEM,L,14,0,3
Joel Embiid,PHI,10/26/2016,PHI vs. OKC,L,22,20,-4
Jahlil Okafor,PHI,10/26/2016,PHI vs. OKC,L,16,8,0
Tyler Ennis,HOU,10/26/2016,HOU @ LAL,L,12,0,-9
Deyonta Davis,MEM,10/26/2016,MEM vs. MIN,W,6,0,7
Miles Plumlee,MIL,10/26/2016,MIL vs. CHA,L,8,0,-10
Michael Kidd-Gilchrist,CHA,10/26/2016,CHA @ MIL,W,35,23,10
Beno Udrih,DET,10/26/2016,DET @ TOR,L,15,5,1
Corey Brewer,HOU,10/26/2016,HOU @ LAL,L,15,4,-3
Mike Conley,MEM,10/26/2016,MEM vs. MIN,W,30,24,-3
Justin Hamilton,BKN,10/26/2016,BKN @ BOS,L,25,19,0
Clint Capela,HOU,10/26/2016,HOU @ LAL,L,26,16,8
Dragan Bender,PHX,10/26/2016,PHX vs. SAC,L,12,10,10
Tobias Harris,DET,10/26/2016,DET @ TOR,L,36,22,-21
Quincy Acy,DAL,10/26/2016,DAL @ IND,L,1,0,-4
Matt Barnes,SAC,10/26/2016,SAC @ PHX,W,28,14,12
James Harden,HOU,10/26/2016,HOU @ LAL,L,37,34,10
Dennis Schroder,ATL,10/27/2016,ATL vs. WAS,W,25,14,-1
Damian Lillard,POR,10/27/2016,POR vs. LAC,L,36,29,13
Tim Hardaway Jr.,ATL,10/27/2016,ATL vs. WAS,W,23,21,23
Terry Rozier,BOS,10/27/2016,BOS @ CHI,L,23,8,0
Kawhi Leonard,SAS,10/27/2016,SAS @ SAC,W,35,30,4
Andrew Nicholson,WAS,10/27/2016,WAS @ ATL,L,19,9,-10
Willie Cauley-Stein,SAC,10/27/2016,SAC vs. SAS,L,11,3,-6
Jamal Crawford,LAC,10/27/2016,LAC @ POR,W,26,15,18
Kelly Oubre Jr.,WAS,10/27/2016,WAS @ ATL,L,22,5,-10
Isaiah Thomas,BOS,10/27/2016,BOS @ CHI,L,35,25,-6
Austin Rivers,LAC,10/27/2016,LAC @ POR,W,26,8,4
Al-Farouq Aminu,POR,10/27/2016,POR vs. LAC,L,25,1,2
Jae Crowder,BOS,10/27/2016,BOS @ CHI,L,35,14,-2
Bradley Beal,WAS,10/27/2016,WAS @ ATL,L,24,13,-16
Nikola Mirotic,CHI,10/27/2016,CHI vs. BOS,W,29,15,-1
Dwyane Wade,CHI,10/27/2016,CHI vs. BOS,W,32,22,15
JJ Redick,LAC,10/27/2016,LAC @ POR,W,30,8,-7
Tyler Zeller,BOS,10/27/2016,BOS @ CHI,L,20,6,2
Doug McDermott,CHI,10/27/2016,CHI vs. BOS,W,22,5,-5
Garrett Temple,SAC,10/27/2016,SAC vs. SAS,L,12,0,-9
Thabo Sefolosha,ATL,10/27/2016,ATL vs. WAS,W,22,13,19
David Lee,SAS,10/27/2016,SAS @ SAC,W,16,12,18
Markieff Morris,WAS,10/27/2016,WAS @ ATL,L,28,22,-7
Sheldon Mac,WAS,10/27/2016,WAS @ ATL,L,4,7,4
Dwight Howard,ATL,10/27/2016,ATL vs. WAS,W,30,11,5
Jason Smith,WAS,10/27/2016,WAS @ ATL,L,9,2,-7
Anthony Tolliver,SAC,10/27/2016,SAC vs. SAS,L,15,2,-13
Michael Carter-Williams,CHI,10/27/2016,CHI vs. BOS,W,17,5,3
John Wall,WAS,10/27/2016,WAS @ ATL,L,30,12,-9
Dewayne Dedmon,SAS,10/27/2016,SAS @ SAC,W,24,12,21
Marreese Speights,LAC,10/27/2016,LAC @ POR,W,16,15,20
DeAndre' Bembry,ATL,10/27/2016,ATL vs. WAS,W,2,2,1
Mason Plumlee,POR,10/27/2016,POR vs. LAC,L,31,17,5
Kent Bazemore,ATL,10/27/2016,ATL vs. WAS,W,26,7,-2
DeAndre Jordan,LAC,10/27/2016,LAC @ POR,W,28,6,-8
Maurice Harkless,POR,10/27/2016,POR vs. LAC,L,32,23,9
Marcus Thornton,WAS,10/27/2016,WAS @ ATL,L,20,5,-3
Jaylen Brown,BOS,10/27/2016,BOS @ CHI,L,20,8,-6
Gerald Green,BOS,10/27/2016,BOS @ CHI,L,10,2,8
Pau Gasol,SAS,10/27/2016,SAS @ SAC,W,21,7,-13
Jimmy Butler,CHI,10/27/2016,CHI vs. BOS,W,37,24,8
Jonas Jerebko,BOS,10/27/2016,BOS @ CHI,L,10,4,-2
Tomas Satoransky,WAS,10/27/2016,WAS @ ATL,L,4,2,4
Rudy Gay,SAC,10/27/2016,SAC vs. SAS,L,32,17,2
Trey Burke,WAS,10/27/2016,WAS @ ATL,L,18,8,-6
Isaiah Canaan,CHI,10/27/2016,CHI vs. BOS,W,7,0,-2
Al Horford,BOS,10/27/2016,BOS @ CHI,L,30,11,-3
Amir Johnson,BOS,10/27/2016,BOS @ CHI,L,16,5,-11
Arron Afflalo,SAC,10/27/2016,SAC vs. SAS,L,36,7,4
Matt Barnes,SAC,10/27/2016,SAC vs. SAS,L,27,3,-14
Wesley Johnson,LAC,10/27/2016,LAC @ POR,W,12,3,18
Chris Paul,LAC,10/27/2016,LAC @ POR,W,33,27,-4
Avery Bradley,BOS,10/27/2016,BOS @ CHI,L,41,16,-10
Ty Lawson,SAC,10/27/2016,SAC vs. SAS,L,36,7,1
Tony Parker,SAS,10/27/2016,SAS @ SAC,W,25,4,-12
Manu Ginobili,SAS,10/27/2016,SAS @ SAC,W,19,8,19
Paul Millsap,ATL,10/27/2016,ATL vs. WAS,W,31,28,22
Kyle Anderson,SAS,10/27/2016,SAS @ SAC,W,27,2,-9
Patty Mills,SAS,10/27/2016,SAS @ SAC,W,23,6,20
Kosta Koufos,SAC,10/27/2016,SAC vs. SAS,L,24,8,2
Daniel Ochefu,WAS,10/27/2016,WAS @ ATL,L,4,0,4
Otto Porter Jr.,WAS,10/27/2016,WAS @ ATL,L,26,10,-5
LaMarcus Aldridge,SAS,10/27/2016,SAS @ SAC,W,32,16,-10
Kyle Korver,ATL,10/27/2016,ATL vs. WAS,W,22,5,-4
Cristiano Felicio,CHI,10/27/2016,CHI vs. BOS,W,8,4,-7
Taurean Prince,ATL,10/27/2016,ATL vs. WAS,W,4,0,-4
Evan Turner,POR,10/27/2016,POR vs. LAC,L,23,4,-11
Luc Mbah a Moute,LAC,10/27/2016,LAC @ POR,W,17,1,-8
Taj Gibson,CHI,10/27/2016,CHI vs. BOS,W,28,18,11
Shabazz Napier,POR,10/27/2016,POR vs. LAC,L,1,0,-1
Raymond Felton,LAC,10/27/2016,LAC @ POR,W,16,4,17
Ben McLemore,SAC,10/27/2016,SAC vs. SAS,L,10,10,-5
Ed Davis,POR,10/27/2016,POR vs. LAC,L,13,0,-20
CJ McCollum,POR,10/27/2016,POR vs. LAC,L,38,16,-18
Mike Muscala,ATL,10/27/2016,ATL vs. WAS,W,26,9,2
DeMarcus Cousins,SAC,10/27/2016,SAC vs. SAS,L,37,37,-2
Kris Humphries,ATL,10/27/2016,ATL vs. WAS,W,9,0,1
Noah Vonleh,POR,10/27/2016,POR vs. LAC,L,10,6,-12
Robin Lopez,CHI,10/27/2016,CHI vs. BOS,W,27,8,5
Blake Griffin,LAC,10/27/2016,LAC @ POR,W,37,27,-10
Rajon Rondo,CHI,10/27/2016,CHI vs. BOS,W,33,4,3
Malcolm Delaney,ATL,10/27/2016,ATL vs. WAS,W,20,4,13
Jonathon Simmons,SAS,10/27/2016,SAS @ SAC,W,18,5,2
Allen Crabbe,POR,10/27/2016,POR vs. LAC,L,32,10,-7
Marcin Gortat,WAS,10/27/2016,WAS @ ATL,L,32,4,-14
J.J. Barea,DAL,10/28/2016,DAL vs. HOU,L,29,10,-8
Jordan Clarkson,LAL,10/28/2016,LAL @ UTA,L,25,4,-2
Salah Mejri,DAL,10/28/2016,DAL vs. HOU,L,1,2,6
Draymond Green,GSW,10/28/2016,GSW @ NOP,W,34,8,0
