PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Kevin Durant,GSW,05/02/2017,GSW vs. UTA,W,31,17,2
Bojan Bogdanovic,WAS,05/02/2017,WAS @ BOS,L,8,0,-10
George Hill,UTA,05/02/2017,UTA @ GSW,L,28,7,-15
Joel Bolomboy,UTA,05/02/2017,UTA @ GSW,L,5,4,8
Isaiah Thomas,BOS,05/02/2017,BOS vs. WAS,W,45,53,10
Ian Clark,GSW,05/02/2017,GSW vs. UTA,W,18,6,7
Kyle Anderson,SAS,05/03/2017,SAS vs. HOU,W,4,0,-5
Trevor Ariza,HOU,05/03/2017,HOU @ SAS,L,33,2,-14
Dewayne Dedmon,SAS,05/03/2017,SAS vs. HOU,W,4,5,-1
Jakob Poeltl,TOR,05/03/2017,TOR @ CLE,L,6,2,6
Danny Green,SAS,05/03/2017,SAS vs. HOU,W,31,12,22
LaMarcus Aldridge,SAS,05/03/2017,SAS vs. HOU,W,30,15,14
Manu Ginobili,SAS,05/03/2017,SAS vs. HOU,W,18,6,16
Dahntay Jones,CLE,05/03/2017,CLE vs. TOR,W,2,0,-4
Eric Gordon,HOU,05/03/2017,HOU @ SAS,L,29,15,-25
Kawhi Leonard,SAS,05/03/2017,SAS vs. HOU,W,38,34,24
James Harden,HOU,05/03/2017,HOU @ SAS,L,34,13,-13
Norman Powell,TOR,05/03/2017,TOR @ CLE,L,27,8,-24
Patty Mills,SAS,05/03/2017,SAS vs. HOU,W,21,7,3
Lou Williams,HOU,05/03/2017,HOU @ SAS,L,18,4,-11
Patrick Patterson,TOR,05/03/2017,TOR @ CLE,L,18,3,-12
James Jones,CLE,05/03/2017,CLE vs. TOR,W,2,0,-4
Ryan Anderson,HOU,05/03/2017,HOU @ SAS,L,35,18,-26
Nene,HOU,05/03/2017,HOU @ SAS,L,18,10,-3
Delon Wright,TOR,05/03/2017,TOR @ CLE,L,15,4,2
Kyle Lowry,TOR,05/03/2017,TOR @ CLE,L,30,20,-22
Tristan Thompson,CLE,05/03/2017,CLE vs. TOR,W,29,9,25
Kyle Korver,CLE,05/03/2017,CLE vs. TOR,W,20,3,2
Bobby Brown,HOU,05/03/2017,HOU @ SAS,L,4,5,1
Channing Frye,CLE,05/03/2017,CLE vs. TOR,W,18,18,1
Jonathon Simmons,SAS,05/03/2017,SAS vs. HOU,W,20,14,15
JR Smith,CLE,05/03/2017,CLE vs. TOR,W,31,6,28
Sam Dekker,HOU,05/03/2017,HOU @ SAS,L,4,0,1
DeMarre Carroll,TOR,05/03/2017,TOR @ CLE,L,19,0,-2
Richard Jefferson,CLE,05/03/2017,CLE vs. TOR,W,6,0,-6
LeBron James,CLE,05/03/2017,CLE vs. TOR,W,37,39,24
Jonas Valanciunas,TOR,05/03/2017,TOR @ CLE,L,20,23,-13
Cory Joseph,TOR,05/03/2017,TOR @ CLE,L,25,22,-6
Clint Capela,HOU,05/03/2017,HOU @ SAS,L,25,14,-15
Patrick Beverley,HOU,05/03/2017,HOU @ SAS,L,30,12,-23
Isaiah Taylor,HOU,05/03/2017,HOU @ SAS,L,4,0,1
Dejounte Murray,SAS,05/03/2017,SAS vs. HOU,W,4,0,-1
PJ Tucker,TOR,05/03/2017,TOR @ CLE,L,16,0,-9
Iman Shumpert,CLE,05/03/2017,CLE vs. TOR,W,27,14,12
Davis Bertans,SAS,05/03/2017,SAS vs. HOU,W,4,0,-1
Pau Gasol,SAS,05/03/2017,SAS vs. HOU,W,29,6,14
Deron Williams,CLE,05/03/2017,CLE vs. TOR,W,18,5,-4
Pascal Siakam,TOR,05/03/2017,TOR @ CLE,L,7,0,5
Montrezl Harrell,HOU,05/03/2017,HOU @ SAS,L,4,3,1
Kyrie Irving,CLE,05/03/2017,CLE vs. TOR,W,30,22,26
Serge Ibaka,TOR,05/03/2017,TOR @ CLE,L,26,16,-18
David Lee,SAS,05/03/2017,SAS vs. HOU,W,11,4,7
Troy Williams,HOU,05/03/2017,HOU @ SAS,L,4,0,1
Tony Parker,SAS,05/03/2017,SAS vs. HOU,W,26,18,18
Fred VanVleet,TOR,05/03/2017,TOR @ CLE,L,2,0,4
DeMar DeRozan,TOR,05/03/2017,TOR @ CLE,L,31,5,-21
Kevin Love,CLE,05/03/2017,CLE vs. TOR,W,21,9,10
Terry Rozier,BOS,05/04/2017,BOS @ WAS,L,9,2,-9
David West,GSW,05/04/2017,GSW vs. UTA,W,15,4,-3
Joe Johnson,UTA,05/04/2017,UTA @ GSW,L,30,8,-15
Gordon Hayward,UTA,05/04/2017,UTA @ GSW,L,40,33,-9
Bradley Beal,WAS,05/04/2017,WAS vs. BOS,W,26,11,17
Jae Crowder,BOS,05/04/2017,BOS @ WAS,L,26,14,-18
Kelly Oubre Jr.,WAS,05/04/2017,WAS vs. BOS,W,5,2,3
Trey Burke,WAS,05/04/2017,WAS vs. BOS,W,10,0,1
Andre Iguodala,GSW,05/04/2017,GSW vs. UTA,W,34,10,9
Rodney Hood,UTA,05/04/2017,UTA @ GSW,L,35,8,-10
James Michael McAdoo,GSW,05/04/2017,GSW vs. UTA,W,0,0,0
Jonas Jerebko,BOS,05/04/2017,BOS @ WAS,L,9,4,3
JaVale McGee,GSW,05/04/2017,GSW vs. UTA,W,9,4,5
Shelvin Mack,UTA,05/04/2017,UTA @ GSW,L,31,14,-12
Ian Clark,GSW,05/04/2017,GSW vs. UTA,W,9,8,-3
Avery Bradley,BOS,05/04/2017,BOS @ WAS,L,28,7,-25
Jaylen Brown,BOS,05/04/2017,BOS @ WAS,L,19,6,-12
Markieff Morris,WAS,05/04/2017,WAS vs. BOS,W,19,10,17
Ian Mahinmi,WAS,05/04/2017,WAS vs. BOS,W,10,2,1
Marcus Smart,BOS,05/04/2017,BOS @ WAS,L,25,9,-19
Otto Porter Jr.,WAS,05/04/2017,WAS vs. BOS,W,38,19,16
Brandon Jennings,WAS,05/04/2017,WAS vs. BOS,W,15,4,10
Rudy Gobert,UTA,05/04/2017,UTA @ GSW,L,37,16,-8
Sheldon Mac,WAS,05/04/2017,WAS vs. BOS,W,5,8,8
Stephen Curry,GSW,05/04/2017,GSW vs. UTA,W,38,23,14
Raul Neto,UTA,05/04/2017,UTA @ GSW,L,9,5,-2
Draymond Green,GSW,05/04/2017,GSW vs. UTA,W,36,21,10
Zaza Pachulia,GSW,05/04/2017,GSW vs. UTA,W,9,2,2
Amir Johnson,BOS,05/04/2017,BOS @ WAS,L,10,3,-1
Kelly Olynyk,BOS,05/04/2017,BOS @ WAS,L,12,1,2
Tomas Satoransky,WAS,05/04/2017,WAS vs. BOS,W,12,2,1
John Wall,WAS,05/04/2017,WAS vs. BOS,W,34,24,25
Gerald Green,BOS,05/04/2017,BOS @ WAS,L,26,8,-7
Joe Ingles,UTA,05/04/2017,UTA @ GSW,L,21,3,-2
Kevin Durant,GSW,05/04/2017,GSW vs. UTA,W,36,25,11
Derrick Favors,UTA,05/04/2017,UTA @ GSW,L,11,3,-3
Matt Barnes,GSW,05/04/2017,GSW vs. UTA,W,1,2,-1
Klay Thompson,GSW,05/04/2017,GSW vs. UTA,W,36,14,9
Shaun Livingston,GSW,05/04/2017,GSW vs. UTA,W,15,2,6
Dante Exum,UTA,05/04/2017,UTA @ GSW,L,14,7,4
Isaiah Thomas,BOS,05/04/2017,BOS @ WAS,L,29,13,-19
Tyler Zeller,BOS,05/04/2017,BOS @ WAS,L,11,3,-6
Jason Smith,WAS,05/04/2017,WAS vs. BOS,W,7,2,4
Boris Diaw,UTA,05/04/2017,UTA @ GSW,L,12,7,2
Marcin Gortat,WAS,05/04/2017,WAS vs. BOS,W,31,13,22
James Young,BOS,05/04/2017,BOS @ WAS,L,10,3,-1
Al Horford,BOS,05/04/2017,BOS @ WAS,L,28,16,-23
Patrick McCaw,GSW,05/04/2017,GSW vs. UTA,W,2,0,-4
Bojan Bogdanovic,WAS,05/04/2017,WAS vs. BOS,W,29,19,10
Kawhi Leonard,SAS,05/05/2017,SAS @ HOU,W,41,26,10
DeMar DeRozan,TOR,05/05/2017,TOR vs. CLE,L,40,37,-12
Tristan Thompson,CLE,05/05/2017,CLE @ TOR,W,38,9,16
James Harden,HOU,05/05/2017,HOU vs. SAS,L,40,43,-14
Pau Gasol,SAS,05/05/2017,SAS @ HOU,W,31,12,5
Clint Capela,HOU,05/05/2017,HOU vs. SAS,L,32,12,-11
Nene,HOU,05/05/2017,HOU vs. SAS,L,16,1,0
David Lee,SAS,05/05/2017,SAS @ HOU,W,16,4,8
LeBron James,CLE,05/05/2017,CLE @ TOR,W,41,35,20
Patrick Patterson,TOR,05/05/2017,TOR vs. CLE,L,20,0,-19
Channing Frye,CLE,05/05/2017,CLE @ TOR,W,10,3,5
Patrick Beverley,HOU,05/05/2017,HOU vs. SAS,L,33,8,-7
Kevin Love,CLE,05/05/2017,CLE @ TOR,W,32,16,1
Eric Gordon,HOU,05/05/2017,HOU vs. SAS,L,33,9,-4
JR Smith,CLE,05/05/2017,CLE @ TOR,W,17,9,1
Dejounte Murray,SAS,05/05/2017,SAS @ HOU,W,14,2,11
DeMarre Carroll,TOR,05/05/2017,TOR vs. CLE,L,4,0,-1
Kyle Korver,CLE,05/05/2017,CLE @ TOR,W,21,14,13
Patty Mills,SAS,05/05/2017,SAS @ HOU,W,30,15,-7
Deron Williams,CLE,05/05/2017,CLE @ TOR,W,16,4,19
LaMarcus Aldridge,SAS,05/05/2017,SAS @ HOU,W,38,26,10
Cory Joseph,TOR,05/05/2017,TOR vs. CLE,L,33,4,-9
Delon Wright,TOR,05/05/2017,TOR vs. CLE,L,12,2,-10
Kyle Anderson,SAS,05/05/2017,SAS @ HOU,W,2,0,1
Ryan Anderson,HOU,05/05/2017,HOU vs. SAS,L,29,2,-13
James Jones,CLE,05/05/2017,CLE @ TOR,W,2,0,1
Dahntay Jones,CLE,05/05/2017,CLE @ TOR,W,2,0,1
PJ Tucker,TOR,05/05/2017,TOR vs. CLE,L,19,5,-9
Manu Ginobili,SAS,05/05/2017,SAS @ HOU,W,16,0,3
Serge Ibaka,TOR,05/05/2017,TOR vs. CLE,L,35,12,-13
Kyrie Irving,CLE,05/05/2017,CLE @ TOR,W,32,16,1
Lou Williams,HOU,05/05/2017,HOU vs. SAS,L,11,0,4
Danny Green,SAS,05/05/2017,SAS @ HOU,W,35,11,9
Trevor Ariza,HOU,05/05/2017,HOU vs. SAS,L,46,17,-10
Derrick Williams,CLE,05/05/2017,CLE @ TOR,W,3,5,0
Norman Powell,TOR,05/05/2017,TOR vs. CLE,L,36,13,-25
Fred VanVleet,TOR,05/05/2017,TOR vs. CLE,L,6,2,-2
Jonas Valanciunas,TOR,05/05/2017,TOR vs. CLE,L,33,19,-5
Iman Shumpert,CLE,05/05/2017,CLE @ TOR,W,26,4,27
Jonathon Simmons,SAS,05/05/2017,SAS @ HOU,W,15,7,5
Joe Ingles,UTA,05/06/2017,UTA vs. GSW,L,29,10,-4
JaVale McGee,GSW,05/06/2017,GSW @ UTA,W,12,2,17
Stephen Curry,GSW,05/06/2017,GSW @ UTA,W,37,23,17
Boris Diaw,UTA,05/06/2017,UTA vs. GSW,L,26,10,3
Raul Neto,UTA,05/06/2017,UTA vs. GSW,L,2,0,-3
Derrick Favors,UTA,05/06/2017,UTA vs. GSW,L,6,0,-6
Andre Iguodala,GSW,05/06/2017,GSW @ UTA,W,27,11,15
Rodney Hood,UTA,05/06/2017,UTA vs. GSW,L,32,3,-12
Rudy Gobert,UTA,05/06/2017,UTA vs. GSW,L,39,21,-8
David West,GSW,05/06/2017,GSW @ UTA,W,17,4,-14
Ian Clark,GSW,05/06/2017,GSW @ UTA,W,7,2,-9
Zaza Pachulia,GSW,05/06/2017,GSW @ UTA,W,12,7,-2
Dante Exum,UTA,05/06/2017,UTA vs. GSW,L,3,0,-4
Shaun Livingston,GSW,05/06/2017,GSW @ UTA,W,12,0,6
Joe Johnson,UTA,05/06/2017,UTA vs. GSW,L,24,7,-11
Draymond Green,GSW,05/06/2017,GSW @ UTA,W,38,9,3
Shelvin Mack,UTA,05/06/2017,UTA vs. GSW,L,37,11,6
Kevin Durant,GSW,05/06/2017,GSW @ UTA,W,39,38,18
Klay Thompson,GSW,05/06/2017,GSW @ UTA,W,39,6,4
Gordon Hayward,UTA,05/06/2017,UTA vs. GSW,L,42,29,-16
Terry Rozier,BOS,05/07/2017,BOS @ WAS,L,22,16,15
Isaiah Taylor,HOU,05/07/2017,HOU vs. SAS,W,2,0,-1
Kyle Korver,CLE,05/07/2017,CLE @ TOR,W,29,18,12
Bobby Brown,HOU,05/07/2017,HOU vs. SAS,W,6,11,-2
Channing Frye,CLE,05/07/2017,CLE @ TOR,W,12,10,4
Dejounte Murray,SAS,05/07/2017,SAS @ HOU,L,20,8,-14
James Harden,HOU,05/07/2017,HOU vs. SAS,W,35,28,28
Markieff Morris,WAS,05/07/2017,WAS vs. BOS,W,35,16,31
Lou Williams,HOU,05/07/2017,HOU vs. SAS,W,32,13,-3
Iman Shumpert,CLE,05/07/2017,CLE @ TOR,W,12,0,-6
Kevin Love,CLE,05/07/2017,CLE @ TOR,W,34,5,13
JR Smith,CLE,05/07/2017,CLE @ TOR,W,21,3,-1
Marcin Gortat,WAS,05/07/2017,WAS vs. BOS,W,26,6,34
Jonathon Simmons,SAS,05/07/2017,SAS @ HOU,L,23,17,2
Otto Porter Jr.,WAS,05/07/2017,WAS vs. BOS,W,34,18,34
Tristan Thompson,CLE,05/07/2017,CLE @ TOR,W,32,6,-12
Kyle Anderson,SAS,05/07/2017,SAS @ HOU,L,16,8,-10
Trevor Ariza,HOU,05/07/2017,HOU vs. SAS,W,35,16,14
LeBron James,CLE,05/07/2017,CLE @ TOR,W,46,35,7
Jason Smith,WAS,05/07/2017,WAS vs. BOS,W,7,6,-8
Cory Joseph,TOR,05/07/2017,TOR vs. CLE,L,40,20,-5
Gerald Green,BOS,05/07/2017,BOS @ WAS,L,10,8,-5
Tomas Satoransky,WAS,05/07/2017,WAS vs. BOS,W,6,5,-6
Manu Ginobili,SAS,05/07/2017,SAS @ HOU,L,16,9,-5
Isaiah Thomas,BOS,05/07/2017,BOS @ WAS,L,31,19,-30
DeMarre Carroll,TOR,05/07/2017,TOR vs. CLE,L,6,2,-8
Kelly Olynyk,BOS,05/07/2017,BOS @ WAS,L,23,14,1
Kawhi Leonard,SAS,05/07/2017,SAS @ HOU,L,30,16,-15
James Young,BOS,05/07/2017,BOS @ WAS,L,3,0,1
Sam Dekker,HOU,05/07/2017,HOU vs. SAS,W,10,0,-3
PJ Tucker,TOR,05/07/2017,TOR vs. CLE,L,46,14,-7
Dewayne Dedmon,SAS,05/07/2017,SAS @ HOU,L,8,5,-5
Jae Crowder,BOS,05/07/2017,BOS @ WAS,L,31,6,-21
Danny Green,SAS,05/07/2017,SAS @ HOU,L,26,3,-14
Jaylen Brown,BOS,05/07/2017,BOS @ WAS,L,7,3,6
Bojan Bogdanovic,WAS,05/07/2017,WAS vs. BOS,W,22,13,-8
Jonas Valanciunas,TOR,05/07/2017,TOR vs. CLE,L,25,8,3
Brandon Jennings,WAS,05/07/2017,WAS vs. BOS,W,18,0,-10
LaMarcus Aldridge,SAS,05/07/2017,SAS @ HOU,L,25,16,-19
Patrick Patterson,TOR,05/07/2017,TOR vs. CLE,L,10,0,1
Montrezl Harrell,HOU,05/07/2017,HOU vs. SAS,W,2,0,-1
Pau Gasol,SAS,05/07/2017,SAS @ HOU,L,19,8,-17
David Lee,SAS,05/07/2017,SAS @ HOU,L,17,2,1
Kyrie Irving,CLE,05/07/2017,CLE @ TOR,W,40,27,14
Clint Capela,HOU,05/07/2017,HOU vs. SAS,W,25,8,21
Amir Johnson,BOS,05/07/2017,BOS @ WAS,L,12,7,-13
John Wall,WAS,05/07/2017,WAS vs. BOS,W,36,27,25
Bradley Beal,WAS,05/07/2017,WAS vs. BOS,W,37,29,18
Patrick Beverley,HOU,05/07/2017,HOU vs. SAS,W,26,10,27
Serge Ibaka,TOR,05/07/2017,TOR vs. CLE,L,35,23,-4
Patty Mills,SAS,05/07/2017,SAS @ HOU,L,28,10,-9
Deron Williams,CLE,05/07/2017,CLE @ TOR,W,14,5,4
DeMar DeRozan,TOR,05/07/2017,TOR vs. CLE,L,46,22,-1
Bryn Forbes,SAS,05/07/2017,SAS @ HOU,L,7,0,-2
Nene,HOU,05/07/2017,HOU vs. SAS,W,2,4,2
Jonas Jerebko,BOS,05/07/2017,BOS @ WAS,L,3,0,5
Norman Powell,TOR,05/07/2017,TOR vs. CLE,L,24,10,-12
Sheldon Mac,WAS,05/07/2017,WAS vs. BOS,W,3,0,-1
Avery Bradley,BOS,05/07/2017,BOS @ WAS,L,33,5,-18
Marcus Smart,BOS,05/07/2017,BOS @ WAS,L,27,9,-3
Eric Gordon,HOU,05/07/2017,HOU vs. SAS,W,32,22,8
Ryan Anderson,HOU,05/07/2017,HOU vs. SAS,W,32,13,16
Al Horford,BOS,05/07/2017,BOS @ WAS,L,32,11,-36
Davis Bertans,SAS,05/07/2017,SAS @ HOU,L,6,2,2
Ian Mahinmi,WAS,05/07/2017,WAS vs. BOS,W,13,1,-13
Troy Williams,HOU,05/07/2017,HOU vs. SAS,W,2,0,-1
Trey Burke,WAS,05/07/2017,WAS vs. BOS,W,3,0,-1
Fred VanVleet,TOR,05/07/2017,TOR vs. CLE,L,8,3,-2
Tyler Zeller,BOS,05/07/2017,BOS @ WAS,L,5,4,3
Ian Clark,GSW,05/08/2017,GSW @ UTA,W,6,8,-4
Matt Barnes,GSW,05/08/2017,GSW @ UTA,W,14,0,13
Andre Iguodala,GSW,05/08/2017,GSW @ UTA,W,22,7,0
Stephen Curry,GSW,05/08/2017,GSW @ UTA,W,35,30,33
Raul Neto,UTA,05/08/2017,UTA vs. GSW,L,12,4,-4
Rudy Gobert,UTA,05/08/2017,UTA vs. GSW,L,33,12,-28
Rodney Hood,UTA,05/08/2017,UTA vs. GSW,L,14,2,-18
Joe Ingles,UTA,05/08/2017,UTA vs. GSW,L,25,7,-3
Trey Lyles,UTA,05/08/2017,UTA vs. GSW,L,4,0,-2
Joel Bolomboy,UTA,05/08/2017,UTA vs. GSW,L,4,0,0
Gordon Hayward,UTA,05/08/2017,UTA vs. GSW,L,39,25,-32
Shaun Livingston,GSW,05/08/2017,GSW @ UTA,W,17,6,28
Boris Diaw,UTA,05/08/2017,UTA vs. GSW,L,16,0,-14
Joe Johnson,UTA,05/08/2017,UTA vs. GSW,L,26,6,-6
Patrick McCaw,GSW,05/08/2017,GSW @ UTA,W,4,0,2
Klay Thompson,GSW,05/08/2017,GSW @ UTA,W,33,21,5
Zaza Pachulia,GSW,05/08/2017,GSW @ UTA,W,19,2,24
JaVale McGee,GSW,05/08/2017,GSW @ UTA,W,11,12,7
Derrick Favors,UTA,05/08/2017,UTA vs. GSW,L,12,6,2
James Michael McAdoo,GSW,05/08/2017,GSW @ UTA,W,4,0,2
Draymond Green,GSW,05/08/2017,GSW @ UTA,W,35,17,19
Kevin Durant,GSW,05/08/2017,GSW @ UTA,W,30,18,8
Shelvin Mack,UTA,05/08/2017,UTA vs. GSW,L,24,18,-13
David West,GSW,05/08/2017,GSW @ UTA,W,10,0,-7
Dante Exum,UTA,05/08/2017,UTA vs. GSW,L,32,15,-12
Kawhi Leonard,SAS,05/09/2017,SAS vs. HOU,W,38,22,-2
Danny Green,SAS,05/09/2017,SAS vs. HOU,W,40,16,-5
Manu Ginobili,SAS,05/09/2017,SAS vs. HOU,W,32,12,8
Trevor Ariza,HOU,05/09/2017,HOU @ SAS,L,40,9,-9
Ryan Anderson,HOU,05/09/2017,HOU @ SAS,L,36,19,5
Kyle Anderson,SAS,05/09/2017,SAS vs. HOU,W,7,0,0
James Harden,HOU,05/09/2017,HOU @ SAS,L,43,33,-6
Patrick Beverley,HOU,05/09/2017,HOU @ SAS,L,42,20,-7
Clint Capela,HOU,05/09/2017,HOU @ SAS,L,34,9,-3
Eric Gordon,HOU,05/09/2017,HOU @ SAS,L,44,11,4
Lou Williams,HOU,05/09/2017,HOU @ SAS,L,26,6,1
David Lee,SAS,05/09/2017,SAS vs. HOU,W,11,6,3
LaMarcus Aldridge,SAS,05/09/2017,SAS vs. HOU,W,42,18,4
Jonathon Simmons,SAS,05/09/2017,SAS vs. HOU,W,32,12,2
Pau Gasol,SAS,05/09/2017,SAS vs. HOU,W,20,4,-3
Patty Mills,SAS,05/09/2017,SAS vs. HOU,W,43,20,8
Jae Crowder,BOS,05/10/2017,BOS vs. WAS,W,26,18,19
Bojan Bogdanovic,WAS,05/10/2017,WAS @ BOS,L,23,6,-13
Bradley Beal,WAS,05/10/2017,WAS @ BOS,L,35,16,-20
Al Horford,BOS,05/10/2017,BOS vs. WAS,W,28,19,14
Avery Bradley,BOS,05/10/2017,BOS vs. WAS,W,30,29,12
Kelly Oubre Jr.,WAS,05/10/2017,WAS @ BOS,L,20,13,-7
Sheldon Mac,WAS,05/10/2017,WAS @ BOS,L,4,2,2
Amir Johnson,BOS,05/10/2017,BOS vs. WAS,W,18,8,6
James Young,BOS,05/10/2017,BOS vs. WAS,W,5,3,0
Trey Burke,WAS,05/10/2017,WAS @ BOS,L,7,0,1
Ian Mahinmi,WAS,05/10/2017,WAS @ BOS,L,14,5,-13
Marcus Smart,BOS,05/10/2017,BOS vs. WAS,W,26,9,13
John Wall,WAS,05/10/2017,WAS @ BOS,L,32,21,-9
Tyler Zeller,BOS,05/10/2017,BOS vs. WAS,W,4,6,-2
Otto Porter Jr.,WAS,05/10/2017,WAS @ BOS,L,26,13,-11
Markieff Morris,WAS,05/10/2017,WAS @ BOS,L,28,9,-17
Kelly Olynyk,BOS,05/10/2017,BOS vs. WAS,W,16,8,11
Jaylen Brown,BOS,05/10/2017,BOS vs. WAS,W,26,0,17
Jason Smith,WAS,05/10/2017,WAS @ BOS,L,7,5,1
Tomas Satoransky,WAS,05/10/2017,WAS @ BOS,L,4,1,2
Terry Rozier,BOS,05/10/2017,BOS vs. WAS,W,21,5,9
Brandon Jennings,WAS,05/10/2017,WAS @ BOS,L,15,3,-14
Marcin Gortat,WAS,05/10/2017,WAS @ BOS,L,25,7,-12
Gerald Green,BOS,05/10/2017,BOS vs. WAS,W,4,0,-2
Isaiah Thomas,BOS,05/10/2017,BOS vs. WAS,W,35,18,13
Bryn Forbes,SAS,05/11/2017,SAS @ HOU,W,4,2,3
LaMarcus Aldridge,SAS,05/11/2017,SAS @ HOU,W,36,34,21
Clint Capela,HOU,05/11/2017,HOU vs. SAS,L,35,15,-28
Sam Dekker,HOU,05/11/2017,HOU vs. SAS,L,10,6,-15
James Harden,HOU,05/11/2017,HOU vs. SAS,L,37,10,-28
Dejounte Murray,SAS,05/11/2017,SAS @ HOU,W,24,11,33
Patrick Beverley,HOU,05/11/2017,HOU vs. SAS,L,32,7,-30
Isaiah Taylor,HOU,05/11/2017,HOU vs. SAS,L,3,0,-1
Troy Williams,HOU,05/11/2017,HOU vs. SAS,L,3,0,-1
Dewayne Dedmon,SAS,05/11/2017,SAS @ HOU,W,4,3,3
Eric Gordon,HOU,05/11/2017,HOU vs. SAS,L,30,6,-13
Lou Williams,HOU,05/11/2017,HOU vs. SAS,L,20,8,-23
Pau Gasol,SAS,05/11/2017,SAS @ HOU,W,29,10,19
Trevor Ariza,HOU,05/11/2017,HOU vs. SAS,L,38,20,-24
Patty Mills,SAS,05/11/2017,SAS @ HOU,W,27,14,25
Montrezl Harrell,HOU,05/11/2017,HOU vs. SAS,L,3,0,-1
Danny Green,SAS,05/11/2017,SAS @ HOU,W,31,10,11
Jonathon Simmons,SAS,05/11/2017,SAS @ HOU,W,31,18,32
Kyle Anderson,SAS,05/11/2017,SAS @ HOU,W,21,7,21
Davis Bertans,SAS,05/11/2017,SAS @ HOU,W,4,1,3
Manu Ginobili,SAS,05/11/2017,SAS @ HOU,W,17,2,8
Bobby Brown,HOU,05/11/2017,HOU vs. SAS,L,3,3,-1
Joel Anthony,SAS,05/11/2017,SAS @ HOU,W,3,0,-1
Ryan Anderson,HOU,05/11/2017,HOU vs. SAS,L,25,0,-30
David Lee,SAS,05/11/2017,SAS @ HOU,W,8,2,17
Bojan Bogdanovic,WAS,05/12/2017,WAS vs. BOS,W,17,4,5
Jae Crowder,BOS,05/12/2017,BOS @ WAS,L,37,10,3
Ian Mahinmi,WAS,05/12/2017,WAS vs. BOS,W,15,6,-2
Bradley Beal,WAS,05/12/2017,WAS vs. BOS,W,43,33,0
Kelly Oubre Jr.,WAS,05/12/2017,WAS vs. BOS,W,7,0,-5
Isaiah Thomas,BOS,05/12/2017,BOS @ WAS,L,39,27,5
Avery Bradley,BOS,05/12/2017,BOS @ WAS,L,42,27,0
Marcus Smart,BOS,05/12/2017,BOS @ WAS,L,28,1,-8
Jaylen Brown,BOS,05/12/2017,BOS @ WAS,L,11,0,1
Terry Rozier,BOS,05/12/2017,BOS @ WAS,L,11,0,2
Marcin Gortat,WAS,05/12/2017,WAS vs. BOS,W,25,4,6
Jason Smith,WAS,05/12/2017,WAS vs. BOS,W,7,3,-3
Brandon Jennings,WAS,05/12/2017,WAS vs. BOS,W,8,0,0
Amir Johnson,BOS,05/12/2017,BOS @ WAS,L,14,2,-5
John Wall,WAS,05/12/2017,WAS vs. BOS,W,42,26,2
Kelly Olynyk,BOS,05/12/2017,BOS @ WAS,L,21,4,-6
Otto Porter Jr.,WAS,05/12/2017,WAS vs. BOS,W,36,0,0
Al Horford,BOS,05/12/2017,BOS @ WAS,L,37,20,3
Markieff Morris,WAS,05/12/2017,WAS vs. BOS,W,39,16,2
JaVale McGee,GSW,05/14/2017,GSW vs. SAS,W,5,1,-11
Jonathon Simmons,SAS,05/14/2017,SAS @ GSW,L,26,12,-17
Kyle Anderson,SAS,05/14/2017,SAS @ GSW,L,9,4,-3
Draymond Green,GSW,05/14/2017,GSW vs. SAS,W,37,9,3
Shaun Livingston,GSW,05/14/2017,GSW vs. SAS,W,23,4,4
LaMarcus Aldridge,SAS,05/14/2017,SAS @ GSW,L,40,28,-14
Pau Gasol,SAS,05/14/2017,SAS @ GSW,L,16,5,-1
Patty Mills,SAS,05/14/2017,SAS @ GSW,L,37,5,-15
Davis Bertans,SAS,05/14/2017,SAS @ GSW,L,0,0,3
Kevin Durant,GSW,05/14/2017,GSW vs. SAS,W,39,34,14
Andre Iguodala,GSW,05/14/2017,GSW vs. SAS,W,10,2,-19
Stephen Curry,GSW,05/14/2017,GSW vs. SAS,W,39,40,8
Kawhi Leonard,SAS,05/14/2017,SAS @ GSW,L,24,26,21
Klay Thompson,GSW,05/14/2017,GSW vs. SAS,W,39,6,5
David West,GSW,05/14/2017,GSW vs. SAS,W,8,1,-11
Zaza Pachulia,GSW,05/14/2017,GSW vs. SAS,W,26,11,11
David Lee,SAS,05/14/2017,SAS @ GSW,L,16,0,15
Manu Ginobili,SAS,05/14/2017,SAS @ GSW,L,26,17,4
Ian Clark,GSW,05/14/2017,GSW vs. SAS,W,5,3,5
Danny Green,SAS,05/14/2017,SAS @ GSW,L,33,8,-10
Dejounte Murray,SAS,05/14/2017,SAS @ GSW,L,13,6,7
Matt Barnes,GSW,05/14/2017,GSW vs. SAS,W,10,2,1
Terry Rozier,BOS,05/15/2017,BOS vs. WAS,W,4,0,0
Bojan Bogdanovic,WAS,05/15/2017,WAS @ BOS,L,16,5,-21
Markieff Morris,WAS,05/15/2017,WAS @ BOS,L,42,18,2
Tomas Satoransky,WAS,05/15/2017,WAS @ BOS,L,0,0,0
Jaylen Brown,BOS,05/15/2017,BOS vs. WAS,W,20,9,10
Jason Smith,WAS,05/15/2017,WAS @ BOS,L,3,0,-13
Marcus Smart,BOS,05/15/2017,BOS vs. WAS,W,30,13,14
