PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Kent Bazemore,ATL,10/27/2015,ATL vs. DET,L,21,0,-17
Steve Blake,DET,10/27/2015,DET @ ATL,W,16,3,-14
Andre Drummond,DET,10/27/2015,DET @ ATL,W,37,18,23
Joakim Noah,CHI,10/27/2015,CHI vs. CLE,W,17,0,1
Anthony Davis,NOP,10/27/2015,NOP @ GSW,L,35,18,-16
Festus Ezeli,GSW,10/27/2015,GSW vs. NOP,W,17,13,-7
Nate Robinson,NOP,10/27/2015,NOP @ GSW,L,19,0,-21
Aron Baynes,DET,10/27/2015,DET @ ATL,W,11,6,-11
Jimmy Butler,CHI,10/27/2015,CHI vs. CLE,W,37,17,3
Mo Williams,CLE,10/27/2015,CLE @ CHI,L,37,19,5
Dennis Schroder,ATL,10/27/2015,ATL vs. DET,L,25,20,4
Reggie Jackson,DET,10/27/2015,DET @ ATL,W,32,15,26
Kevin Love,CLE,10/27/2015,CLE @ CHI,L,35,18,1
Klay Thompson,GSW,10/27/2015,GSW vs. NOP,W,26,9,4
LeBron James,CLE,10/27/2015,CLE @ CHI,L,36,25,1
Thabo Sefolosha,ATL,10/27/2015,ATL vs. DET,L,19,2,-1
Aaron Brooks,CHI,10/27/2015,CHI vs. CLE,W,16,6,3
Ish Smith,NOP,10/27/2015,NOP @ GSW,L,38,17,5
Jeff Teague,ATL,10/27/2015,ATL vs. DET,L,32,18,-23
James Jones,CLE,10/27/2015,CLE @ CHI,L,4,0,-7
Derrick Rose,CHI,10/27/2015,CHI vs. CLE,W,32,18,-1
Tristan Thompson,CLE,10/27/2015,CLE @ CHI,L,25,2,-6
Eric Gordon,NOP,10/27/2015,NOP @ GSW,L,33,14,-9
Marreese Speights,GSW,10/27/2015,GSW vs. NOP,W,11,9,2
Mike Scott,ATL,10/27/2015,ATL vs. DET,L,5,4,1
Marcus Morris,DET,10/27/2015,DET @ ATL,W,37,18,17
Andre Iguodala,GSW,10/27/2015,GSW vs. NOP,W,23,2,1
Nikola Mirotic,CHI,10/27/2015,CHI vs. CLE,W,25,19,9
Timofey Mozgov,CLE,10/27/2015,CLE @ CHI,L,21,5,-1
Dante Cunningham,NOP,10/27/2015,NOP @ GSW,L,27,13,-15
Jared Cunningham,CLE,10/27/2015,CLE @ CHI,L,3,0,-8
Brandon Rush,GSW,10/27/2015,GSW vs. NOP,W,2,0,3
E'Twaun Moore,CHI,10/27/2015,CHI vs. CLE,W,14,11,4
Stanley Johnson,DET,10/27/2015,DET @ ATL,W,24,7,-13
Richard Jefferson,CLE,10/27/2015,CLE @ CHI,L,17,10,-5
Harrison Barnes,GSW,10/27/2015,GSW vs. NOP,W,33,8,17
Tony Snell,CHI,10/27/2015,CHI vs. CLE,W,29,11,-1
Tiago Splitter,ATL,10/27/2015,ATL vs. DET,L,16,4,-3
Kyle Korver,ATL,10/27/2015,ATL vs. DET,L,29,7,-9
Stephen Curry,GSW,10/27/2015,GSW vs. NOP,W,36,40,12
Leandro Barbosa,GSW,10/27/2015,GSW vs. NOP,W,21,0,-3
Pau Gasol,CHI,10/27/2015,CHI vs. CLE,W,32,2,-8
Kentavious Caldwell-Pope,DET,10/27/2015,DET @ ATL,W,37,21,17
JR Smith,CLE,10/27/2015,CLE @ CHI,L,30,8,0
Mike Muscala,ATL,10/27/2015,ATL vs. DET,L,8,0,5
Al Horford,ATL,10/27/2015,ATL vs. DET,L,30,15,-5
Doug McDermott,CHI,10/27/2015,CHI vs. CLE,W,16,8,-2
Matthew Dellavedova,CLE,10/27/2015,CLE @ CHI,L,20,6,1
Kendrick Perkins,NOP,10/27/2015,NOP @ GSW,L,16,10,-12
Alonzo Gee,NOP,10/27/2015,NOP @ GSW,L,27,8,-8
Draymond Green,GSW,10/27/2015,GSW vs. NOP,W,29,10,20
Lamar Patterson,ATL,10/27/2015,ATL vs. DET,L,18,5,10
Alexis Ajinca,NOP,10/27/2015,NOP @ GSW,L,17,6,4
Ersan Ilyasova,DET,10/27/2015,DET @ ATL,W,34,16,20
Paul Millsap,ATL,10/27/2015,ATL vs. DET,L,36,19,-22
Taj Gibson,CHI,10/27/2015,CHI vs. CLE,W,22,5,2
Ryan Anderson,NOP,10/27/2015,NOP @ GSW,L,29,9,-8
Shaun Livingston,GSW,10/27/2015,GSW vs. NOP,W,21,6,12
Andrew Bogut,GSW,10/27/2015,GSW vs. NOP,W,19,12,17
James Michael McAdoo,GSW,10/27/2015,GSW vs. NOP,W,3,2,2
Anderson Varejao,CLE,10/27/2015,CLE @ CHI,L,12,2,9
Jodie Meeks,DET,10/27/2015,DET @ ATL,W,11,2,-5
Joe Young,IND,10/28/2015,IND @ TOR,L,2,0,-1
Tim Duncan,SAS,10/28/2015,SAS @ OKC,L,26,8,-6
Otto Porter Jr.,WAS,10/28/2015,WAS @ ORL,W,37,7,19
Kevin Durant,OKC,10/28/2015,OKC vs. SAS,W,35,22,0
Luis Scola,TOR,10/28/2015,TOR vs. IND,W,17,0,1
Marcin Gortat,WAS,10/28/2015,WAS @ ORL,W,36,10,14
Monta Ellis,IND,10/28/2015,IND @ TOR,L,29,9,-5
Nemanja Bjelica,MIN,10/28/2015,MIN @ LAL,W,23,8,6
Enes Kanter,OKC,10/28/2015,OKC vs. SAS,W,24,15,0
Rodney Hood,UTA,10/28/2015,UTA @ DET,L,29,12,7
Dion Waiters,OKC,10/28/2015,OKC vs. SAS,W,21,8,15
Ed Davis,POR,10/28/2015,POR vs. NOP,W,29,12,18
Kendrick Perkins,NOP,10/28/2015,NOP @ POR,L,9,4,-16
Andre Drummond,DET,10/28/2015,DET vs. UTA,W,36,18,14
Udonis Haslem,MIA,10/28/2015,MIA vs. CHA,W,11,6,1
Cory Joseph,TOR,10/28/2015,TOR vs. IND,W,28,3,-3
Ricky Rubio,MIN,10/28/2015,MIN @ LAL,W,32,28,12
Tony Snell,CHI,10/28/2015,CHI @ BKN,W,22,10,25
Christian Wood,PHI,10/28/2015,PHI @ BOS,L,6,0,-12
Victor Oladipo,ORL,10/28/2015,ORL vs. WAS,L,36,17,-10
Jrue Holiday,NOP,10/28/2015,NOP @ POR,L,21,12,-13
Hollis Thompson,PHI,10/28/2015,PHI @ BOS,L,36,9,-15
Raul Neto,UTA,10/28/2015,UTA @ DET,L,26,8,12
Jared Cunningham,CLE,10/28/2015,CLE @ MEM,W,15,12,13
Spencer Hawes,CHA,10/28/2015,CHA @ MIA,L,18,7,-14
DeMarcus Cousins,SAC,10/28/2015,SAC vs. LAC,L,35,32,-7
Blake Griffin,LAC,10/28/2015,LAC @ SAC,W,38,33,16
Tobias Harris,ORL,10/28/2015,ORL vs. WAS,L,31,15,-1
Brian Roberts,CHA,10/28/2015,CHA @ MIA,L,13,5,4
Alonzo Gee,NOP,10/28/2015,NOP @ POR,L,18,3,-30
Alec Burks,UTA,10/28/2015,UTA @ DET,L,26,18,-12
Paul Pierce,LAC,10/28/2015,LAC @ SAC,W,24,12,-4
James Johnson,TOR,10/28/2015,TOR vs. IND,W,3,0,6
Manu Ginobili,SAS,10/28/2015,SAS @ OKC,L,19,11,-4
Kris Humphries,WAS,10/28/2015,WAS @ ORL,W,26,11,9
T.J. McConnell,PHI,10/28/2015,PHI @ BOS,L,28,4,-19
Anderson Varejao,CLE,10/28/2015,CLE @ MEM,W,11,4,17
Jonas Valanciunas,TOR,10/28/2015,TOR vs. IND,W,32,21,8
Noah Vonleh,POR,10/28/2015,POR vs. NOP,W,14,2,-11
Marco Belinelli,SAC,10/28/2015,SAC vs. LAC,L,32,9,-1
PJ Tucker,PHX,10/28/2015,PHX vs. DAL,L,9,2,-15
Emmanuel Mudiay,DEN,10/28/2015,DEN @ HOU,W,38,17,13
C.J. Watson,ORL,10/28/2015,ORL vs. WAS,L,21,2,17
Patrick Patterson,TOR,10/28/2015,TOR vs. IND,W,19,8,4
Julius Randle,LAL,10/28/2015,LAL vs. MIN,L,30,15,2
Mirza Teletovic,PHX,10/28/2015,PHX vs. DAL,L,18,5,6
Jason Smith,ORL,10/28/2015,ORL vs. WAS,L,5,2,-5
Kawhi Leonard,SAS,10/28/2015,SAS @ OKC,L,35,32,4
Kyle O'Quinn,NYK,10/28/2015,NYK @ MIL,W,23,8,23
Mike Conley,MEM,10/28/2015,MEM vs. CLE,L,29,8,-18
Chris Copeland,MIL,10/28/2015,MIL vs. NYK,L,19,8,-17
D.J. Augustin,OKC,10/28/2015,OKC vs. SAS,W,13,8,-3
Greivis Vasquez,MIL,10/28/2015,MIL vs. NYK,L,29,18,-16
Al Jefferson,CHA,10/28/2015,CHA @ MIA,L,22,17,-8
Jordan Clarkson,LAL,10/28/2015,LAL vs. MIN,L,30,14,7
Marcelo Huertas,LAL,10/28/2015,LAL vs. MIN,L,13,2,-3
Matthew Dellavedova,CLE,10/28/2015,CLE @ MEM,W,18,12,29
Tyler Zeller,BOS,10/28/2015,BOS vs. PHI,W,11,6,-6
Nick Collison,OKC,10/28/2015,OKC vs. SAS,W,8,0,-4
Aron Baynes,DET,10/28/2015,DET vs. UTA,W,12,4,-9
Roy Hibbert,LAL,10/28/2015,LAL vs. MIN,L,28,12,-8
Sonny Weems,PHX,10/28/2015,PHX vs. DAL,L,15,0,8
Rondae Hollis-Jefferson,BKN,10/28/2015,BKN vs. CHI,L,24,8,16
Jameer Nelson,DEN,10/28/2015,DEN @ HOU,W,25,10,6
Danny Green,SAS,10/28/2015,SAS @ OKC,L,29,4,-4
JR Smith,CLE,10/28/2015,CLE @ MEM,W,34,9,16
Adreian Payne,MIN,10/28/2015,MIN @ LAL,W,4,0,-2
Tristan Thompson,CLE,10/28/2015,CLE @ MEM,W,20,5,19
Russ Smith,MEM,10/28/2015,MEM vs. CLE,L,6,3,-1
Mario Chalmers,MIA,10/28/2015,MIA vs. CHA,W,17,8,8
Deron Williams,DAL,10/28/2015,DAL @ PHX,W,20,12,16
Tayshaun Prince,MIN,10/28/2015,MIN @ LAL,W,15,2,4
JJ Redick,LAC,10/28/2015,LAC @ SAC,W,31,15,17
Meyers Leonard,POR,10/28/2015,POR vs. NOP,W,34,12,29
Elijah Millsap,UTA,10/28/2015,UTA @ DET,L,10,0,0
Goran Dragic,MIA,10/28/2015,MIA vs. CHA,W,31,8,2
Raymond Felton,DAL,10/28/2015,DAL @ PHX,W,33,18,25
Caron Butler,SAC,10/28/2015,SAC vs. LAC,L,13,8,-2
Kirk Hinrich,CHI,10/28/2015,CHI @ BKN,W,5,0,-7
Alexis Ajinca,NOP,10/28/2015,NOP @ POR,L,7,2,-10
Dwight Powell,DAL,10/28/2015,DAL @ PHX,W,17,12,1
Mo Williams,CLE,10/28/2015,CLE @ MEM,W,23,9,1
Kristaps Porzingis,NYK,10/28/2015,NYK @ MIL,W,24,16,1
Jerryd Bayless,MIL,10/28/2015,MIL vs. NYK,L,30,4,-15
Eric Bledsoe,PHX,10/28/2015,PHX vs. DAL,L,31,13,-25
David West,SAS,10/28/2015,SAS @ OKC,L,18,8,3
Jimmy Butler,CHI,10/28/2015,CHI @ BKN,W,34,24,23
Kosta Koufos,SAC,10/28/2015,SAC vs. LAC,L,23,10,-10
CJ McCollum,POR,10/28/2015,POR vs. NOP,W,37,37,22
Zaza Pachulia,DAL,10/28/2015,DAL @ PHX,W,25,10,26
Sasha Vujacic,NYK,10/28/2015,NYK @ MIL,W,29,11,16
Jordan Hill,IND,10/28/2015,IND @ TOR,L,23,8,-2
Devin Harris,DAL,10/28/2015,DAL @ PHX,W,23,10,3
Chris Paul,LAC,10/28/2015,LAC @ SAC,W,37,18,15
Damien Inglis,MIL,10/28/2015,MIL vs. NYK,L,15,3,-6
Devin Booker,PHX,10/28/2015,PHX vs. DAL,L,21,14,4
Nikola Jokic,DEN,10/28/2015,DEN @ HOU,W,4,2,1
Bojan Bogdanovic,BKN,10/28/2015,BKN vs. CHI,L,29,9,-2
Lavoy Allen,IND,10/28/2015,IND @ TOR,L,12,2,-2
Stanley Johnson,DET,10/28/2015,DET vs. UTA,W,20,11,0
Frank Kaminsky,CHA,10/28/2015,CHA @ MIA,L,6,0,-4
Serge Ibaka,OKC,10/28/2015,OKC vs. SAS,W,34,10,10
Jordan Adams,MEM,10/28/2015,MEM vs. CLE,L,7,3,0
Lou Williams,LAL,10/28/2015,LAL vs. MIN,L,27,21,3
Isaiah Thomas,BOS,10/28/2015,BOS vs. PHI,W,29,27,19
Marvin Williams,CHA,10/28/2015,CHA @ MIA,L,38,10,4
Kyle Anderson,SAS,10/28/2015,SAS @ OKC,L,13,4,-10
Tony Allen,MEM,10/28/2015,MEM vs. CLE,L,23,6,-6
Terry Rozier,BOS,10/28/2015,BOS vs. PHI,W,2,0,0
Erick Green,DEN,10/28/2015,DEN @ HOU,W,1,0,2
Kevin Love,CLE,10/28/2015,CLE @ MEM,W,29,17,18
Gary Neal,WAS,10/28/2015,WAS @ ORL,W,18,6,-5
Reggie Jackson,DET,10/28/2015,DET vs. UTA,W,31,19,-5
Rodney Stuckey,IND,10/28/2015,IND @ TOR,L,24,16,0
Josh McRoberts,MIA,10/28/2015,MIA vs. CHA,W,13,0,5
Nikola Vucevic,ORL,10/28/2015,ORL vs. WAS,L,28,10,-10
Mason Plumlee,POR,10/28/2015,POR vs. NOP,W,19,7,0
JaMychal Green,MEM,10/28/2015,MEM vs. CLE,L,14,4,-17
E'Twaun Moore,CHI,10/28/2015,CHI @ BKN,W,17,9,-1
Salah Mejri,DAL,10/28/2015,DAL @ PHX,W,2,0,-9
Jason Terry,HOU,10/28/2015,HOU vs. DEN,L,11,0,-1
Terrence Ross,TOR,10/28/2015,TOR vs. IND,W,8,5,5
Jeremy Evans,DAL,10/28/2015,DAL @ PHX,W,26,7,5
George Hill,IND,10/28/2015,IND @ TOR,L,38,19,-1
Amir Johnson,BOS,10/28/2015,BOS vs. PHI,W,20,15,16
Derrick Favors,UTA,10/28/2015,UTA @ DET,L,35,26,-3
Ryan Kelly,LAL,10/28/2015,LAL vs. MIN,L,21,3,2
James Anderson,SAC,10/28/2015,SAC vs. LAC,L,3,0,-1
Anthony Tolliver,DET,10/28/2015,DET vs. UTA,W,19,0,3
Kemba Walker,CHA,10/28/2015,CHA @ MIA,L,35,19,-14
Tony Parker,SAS,10/28/2015,SAS @ OKC,L,26,10,-2
Ty Lawson,HOU,10/28/2015,HOU vs. DEN,L,37,12,-16
Trevor Ariza,HOU,10/28/2015,HOU vs. DEN,L,33,6,-13
Michael Carter-Williams,MIL,10/28/2015,MIL vs. NYK,L,34,20,-11
John Wall,WAS,10/28/2015,WAS @ ORL,W,39,22,10
DeMar DeRozan,TOR,10/28/2015,TOR vs. IND,W,36,25,0
Donald Sloan,BKN,10/28/2015,BKN vs. CHI,L,15,2,-9
Richaun Holmes,PHI,10/28/2015,PHI @ BOS,L,6,2,-4
Bradley Beal,WAS,10/28/2015,WAS @ ORL,W,38,24,4
Taj Gibson,CHI,10/28/2015,CHI @ BKN,W,18,3,-15
Will Barton,DEN,10/28/2015,DEN @ HOU,W,20,11,4
Jared Sullinger,BOS,10/28/2015,BOS vs. PHI,W,21,12,5
Sasha Kaun,CLE,10/28/2015,CLE @ MEM,W,6,0,1
Joffrey Lauvergne,DEN,10/28/2015,DEN @ HOU,W,22,11,16
Willie Cauley-Stein,SAC,10/28/2015,SAC vs. LAC,L,8,2,1
Beno Udrih,MEM,10/28/2015,MEM vs. CLE,L,15,5,-12
Rashad Vaughn,MIL,10/28/2015,MIL vs. NYK,L,13,7,-13
Chase Budinger,IND,10/28/2015,IND @ TOR,L,15,0,-9
Russell Westbrook,OKC,10/28/2015,OKC vs. SAS,W,37,33,7
Montrezl Harrell,HOU,10/28/2015,HOU vs. DEN,L,16,8,2
Brandon Bass,LAL,10/28/2015,LAL vs. MIN,L,17,2,2
JaKarr Sampson,PHI,10/28/2015,PHI @ BOS,L,27,13,1
Markieff Morris,PHX,10/28/2015,PHX vs. DAL,L,11,4,-11
CJ Miles,IND,10/28/2015,IND @ TOR,L,36,18,-6
Ish Smith,NOP,10/28/2015,NOP @ POR,L,29,7,1
Sam Dekker,HOU,10/28/2015,HOU vs. DEN,L,1,0,-2
Zach LaVine,MIN,10/28/2015,MIN @ LAL,W,20,8,-4
Jonas Jerebko,BOS,10/28/2015,BOS vs. PHI,W,15,5,14
Cole Aldrich,LAC,10/28/2015,LAC @ SAC,W,0,0,0
Matt Barnes,MEM,10/28/2015,MEM vs. CLE,L,18,0,-28
Eric Gordon,NOP,10/28/2015,NOP @ POR,L,41,20,-22
Jeremy Lin,CHA,10/28/2015,CHA @ MIA,L,27,17,-2
John Jenkins,DAL,10/28/2015,DAL @ PHX,W,4,0,-10
Brandan Wright,MEM,10/28/2015,MEM vs. CLE,L,17,8,-22
Rajon Rondo,SAC,10/28/2015,SAC vs. LAC,L,25,4,-8
J.J. Barea,DAL,10/28/2015,DAL @ PHX,W,25,10,-12
Jerami Grant,PHI,10/28/2015,PHI @ BOS,L,27,9,-22
PJ Hairston,CHA,10/28/2015,CHA @ MIA,L,18,3,-6
Dante Cunningham,NOP,10/28/2015,NOP @ POR,L,31,0,9
Kyle Lowry,TOR,10/28/2015,TOR vs. IND,W,39,23,8
Justin Anderson,DAL,10/28/2015,DAL @ PHX,W,3,2,-11
Dewayne Dedmon,ORL,10/28/2015,ORL vs. WAS,L,15,4,12
Zach Randolph,MEM,10/28/2015,MEM vs. CLE,L,31,12,-7
LeBron James,CLE,10/28/2015,CLE @ MEM,W,31,12,10
Timofey Mozgov,CLE,10/28/2015,CLE @ MEM,W,25,9,3
Bismack Biyombo,TOR,10/28/2015,TOR vs. IND,W,16,7,-1
Rudy Gay,SAC,10/28/2015,SAC vs. LAC,L,31,16,-2
Kenneth Faried,DEN,10/28/2015,DEN @ HOU,W,31,18,21
Drew Gooden,WAS,10/28/2015,WAS @ ORL,W,20,3,-14
Jerian Grant,NYK,10/28/2015,NYK @ MIL,W,24,10,20
Marcus Smart,BOS,10/28/2015,BOS vs. PHI,W,32,13,22
Mario Hezonja,ORL,10/28/2015,ORL vs. WAS,L,25,11,2
Patrick Beverley,HOU,10/28/2015,HOU vs. DEN,L,21,8,-2
Clint Capela,HOU,10/28/2015,HOU vs. DEN,L,25,9,-16
Josh Smith,LAC,10/28/2015,LAC @ SAC,W,16,1,-14
Derrick Rose,CHI,10/28/2015,CHI @ BKN,W,29,15,18
Kevin Martin,MIN,10/28/2015,MIN @ LAL,W,29,23,-10
Nene,WAS,10/28/2015,WAS @ ORL,W,12,1,-13
Damjan Rudez,MIN,10/28/2015,MIN @ LAL,W,5,2,-7
Marcus Morris,DET,10/28/2015,DET vs. UTA,W,35,14,13
Brook Lopez,BKN,10/28/2015,BKN vs. CHI,L,33,26,-20
Paul George,IND,10/28/2015,IND @ TOR,L,37,17,-4
Gerald Green,MIA,10/28/2015,MIA vs. CHA,W,30,19,0
DeAndre Jordan,LAC,10/28/2015,LAC @ SAC,W,27,8,15
Boris Diaw,SAS,10/28/2015,SAS @ OKC,L,20,9,0
Jahlil Okafor,PHI,10/28/2015,PHI @ BOS,L,38,26,-9
Elfrid Payton,ORL,10/28/2015,ORL vs. WAS,L,35,11,-11
Ben McLemore,SAC,10/28/2015,SAC vs. LAC,L,20,5,-14
Patty Mills,SAS,10/28/2015,SAS @ OKC,L,22,9,-4
Brandon Knight,PHX,10/28/2015,PHX vs. DAL,L,34,15,-23
Gary Harris,DEN,10/28/2015,DEN @ HOU,W,29,5,23
TJ Warren,PHX,10/28/2015,PHX vs. DAL,L,20,9,-4
Wesley Matthews,DAL,10/28/2015,DAL @ PHX,W,26,9,21
Joe Ingles,UTA,10/28/2015,UTA @ DET,L,16,4,-1
Tyson Chandler,PHX,10/28/2015,PHX vs. DAL,L,17,3,-23
Evan Turner,BOS,10/28/2015,BOS vs. PHI,W,22,6,23
Aaron Gordon,ORL,10/28/2015,ORL vs. WAS,L,17,12,2
Damian Lillard,POR,10/28/2015,POR vs. NOP,W,36,21,17
Avery Bradley,BOS,10/28/2015,BOS vs. PHI,W,33,4,0
Nick Young,LAL,10/28/2015,LAL vs. MIN,L,19,14,5
Nerlens Noel,PHI,10/28/2015,PHI @ BOS,L,35,14,-2
Joe Harris,CLE,10/28/2015,CLE @ MEM,W,5,0,2
Langston Galloway,NYK,10/28/2015,NYK @ MIL,W,25,16,13
Gorgui Dieng,MIN,10/28/2015,MIN @ LAL,W,20,4,-13
Jae Crowder,BOS,10/28/2015,BOS vs. PHI,W,31,14,-4
Reggie Bullock,DET,10/28/2015,DET vs. UTA,W,6,0,-2
Ramon Sessions,WAS,10/28/2015,WAS @ ORL,W,14,4,-19
David Lee,BOS,10/28/2015,BOS vs. PHI,W,22,8,-4
Alex Len,PHX,10/28/2015,PHX vs. DAL,L,14,4,-10
Robin Lopez,NYK,10/28/2015,NYK @ MIL,W,20,8,0
Trey Burke,UTA,10/28/2015,UTA @ DET,L,16,0,-15
Dirk Nowitzki,DAL,10/28/2015,DAL @ PHX,W,21,11,21
Archie Goodwin,PHX,10/28/2015,PHX vs. DAL,L,17,12,5
Cleanthony Early,NYK,10/28/2015,NYK @ MIL,W,7,2,7
Danilo Gallinari,DEN,10/28/2015,DEN @ HOU,W,36,23,20
Markel Brown,BKN,10/28/2015,BKN vs. CHI,L,9,6,-3
Kobe Bryant,LAL,10/28/2015,LAL vs. MIN,L,29,24,-6
Shane Larkin,BKN,10/28/2015,BKN vs. CHI,L,23,6,-3
Dwyane Wade,MIA,10/28/2015,MIA vs. CHA,W,29,20,-2
Al-Farouq Aminu,POR,10/28/2015,POR vs. NOP,W,31,9,27
Nikola Mirotic,CHI,10/28/2015,CHI @ BKN,W,30,18,30
Terrence Jones,HOU,10/28/2015,HOU vs. DEN,L,29,15,-18
Rudy Gobert,UTA,10/28/2015,UTA @ DET,L,37,6,1
Miles Plumlee,MIL,10/28/2015,MIL vs. NYK,L,3,0,-9
Greg Monroe,MIL,10/28/2015,MIL vs. NYK,L,35,22,-15
Andre Roberson,OKC,10/28/2015,OKC vs. SAS,W,17,2,-4
Omri Casspi,SAC,10/28/2015,SAC vs. LAC,L,20,5,8
Corey Brewer,HOU,10/28/2015,HOU vs. DEN,L,29,5,-12
Gordon Hayward,UTA,10/28/2015,UTA @ DET,L,35,13,1
Andrew Wiggins,MIN,10/28/2015,MIN @ LAL,W,29,9,8
Isaiah Canaan,PHI,10/28/2015,PHI @ BOS,L,38,18,-3
John Henson,MIL,10/28/2015,MIL vs. NYK,L,10,4,-1
D'Angelo Russell,LAL,10/28/2015,LAL vs. MIN,L,26,4,-9
Allen Crabbe,POR,10/28/2015,POR vs. NOP,W,22,4,-5
Ronnie Price,PHX,10/28/2015,PHX vs. DAL,L,11,0,7
Wesley Johnson,LAC,10/28/2015,LAC @ SAC,W,11,3,-8
Anthony Davis,NOP,10/28/2015,NOP @ POR,L,41,25,-8
Khris Middleton,MIL,10/28/2015,MIL vs. NYK,L,35,11,-12
Austin Rivers,LAC,10/28/2015,LAC @ SAC,W,16,3,-8
Luol Deng,MIA,10/28/2015,MIA vs. CHA,W,30,13,-4
Cody Zeller,CHA,10/28/2015,CHA @ MIA,L,30,7,-7
Richard Jefferson,CLE,10/28/2015,CLE @ MEM,W,18,14,19
Joe Johnson,BKN,10/28/2015,BKN vs. CHI,L,32,10,-29
Jodie Meeks,DET,10/28/2015,DET vs. UTA,W,6,0,5
Joakim Noah,CHI,10/28/2015,CHI @ BKN,W,18,0,-8
Hassan Whiteside,MIA,10/28/2015,MIA vs. CHA,W,20,4,4
Ryan Anderson,NOP,10/28/2015,NOP @ POR,L,39,21,-2
Kevin Garnett,MIN,10/28/2015,MIN @ LAL,W,13,4,12
Nicolas Batum,CHA,10/28/2015,CHA @ MIA,L,33,9,-3
Darren Collison,SAC,10/28/2015,SAC vs. LAC,L,30,13,1
Ersan Ilyasova,DET,10/28/2015,DET vs. UTA,W,22,8,-6
Carmelo Anthony,NYK,10/28/2015,NYK @ MIL,W,29,11,4
Thaddeus Young,BKN,10/28/2015,BKN vs. CHI,L,24,12,-15
Shabazz Muhammad,MIN,10/28/2015,MIN @ LAL,W,19,10,-7
Trey Lyles,UTA,10/28/2015,UTA @ DET,L,8,0,-15
Andrea Bargnani,BKN,10/28/2015,BKN vs. CHI,L,22,17,2
Kentavious Caldwell-Pope,DET,10/28/2015,DET vs. UTA,W,36,16,2
Charlie Villanueva,DAL,10/28/2015,DAL @ PHX,W,15,10,4
Steven Adams,OKC,10/28/2015,OKC vs. SAS,W,30,6,4
Jamal Crawford,LAC,10/28/2015,LAC @ SAC,W,21,11,-5
Steve Blake,DET,10/28/2015,DET vs. UTA,W,17,2,10
KJ McDaniels,HOU,10/28/2015,HOU vs. DEN,L,1,0,-2
Derrick Williams,NYK,10/28/2015,NYK @ MIL,W,21,24,20
Evan Fournier,ORL,10/28/2015,ORL vs. WAS,L,27,3,-1
Darrell Arthur,DEN,10/28/2015,DEN @ HOU,W,16,5,-3
Thomas Robinson,BKN,10/28/2015,BKN vs. CHI,L,15,4,5
James Jones,CLE,10/28/2015,CLE @ MEM,W,5,3,2
Justise Winslow,MIA,10/28/2015,MIA vs. CHA,W,26,5,26
Johnny O'Bryant III,MIL,10/28/2015,MIL vs. NYK,L,17,0,-10
Aaron Brooks,CHI,10/28/2015,CHI @ BKN,W,16,12,1
Lance Thomas,NYK,10/28/2015,NYK @ MIL,W,20,13,20
Ian Mahinmi,IND,10/28/2015,IND @ TOR,L,25,10,-5
Doug McDermott,CHI,10/28/2015,CHI @ BKN,W,20,8,-14
Lance Stephenson,LAC,10/28/2015,LAC @ SAC,W,19,7,11
Courtney Lee,MEM,10/28/2015,MEM vs. CLE,L,31,7,-12
Jose Calderon,NYK,10/28/2015,NYK @ MIL,W,18,3,1
DeMarre Carroll,TOR,10/28/2015,TOR vs. IND,W,41,14,7
Jeff Green,MEM,10/28/2015,MEM vs. CLE,L,20,8,-21
James Harden,HOU,10/28/2015,HOU vs. DEN,L,36,22,-20
Karl-Anthony Towns,MIN,10/28/2015,MIN @ LAL,W,32,14,6
Marc Gasol,MEM,10/28/2015,MEM vs. CLE,L,30,12,-6
Chris Bosh,MIA,10/28/2015,MIA vs. CHA,W,32,21,10
Anthony Morrow,OKC,10/28/2015,OKC vs. SAS,W,22,8,5
Randy Foye,DEN,10/28/2015,DEN @ HOU,W,18,3,-5
Nate Robinson,NOP,10/28/2015,NOP @ POR,L,4,0,1
Maurice Harkless,POR,10/28/2015,POR vs. NOP,W,18,8,-7
Mike Miller,DEN,10/28/2015,DEN @ HOU,W,1,0,2
LaMarcus Aldridge,SAS,10/28/2015,SAS @ OKC,L,32,11,-7
Pau Gasol,CHI,10/28/2015,CHI @ BKN,W,30,16,23
Jon Leuer,PHX,10/28/2015,PHX vs. DAL,L,20,14,1
Wayne Ellington,BKN,10/28/2015,BKN vs. CHI,L,12,0,-17
Jordan Mickey,BOS,10/28/2015,BOS vs. PHI,W,2,2,0
Dennis Schroder,ATL,10/29/2015,ATL @ NYK,W,18,13,-7
Jeff Teague,ATL,10/29/2015,ATL @ NYK,W,30,23,18
Matt Barnes,MEM,10/29/2015,MEM @ IND,W,21,10,-5
Paul George,IND,10/29/2015,IND vs. MEM,L,35,18,-10
Monta Ellis,IND,10/29/2015,IND vs. MEM,L,32,9,-21
Pablo Prigioni,LAC,10/29/2015,LAC vs. DAL,W,7,0,-8
Sasha Vujacic,NYK,10/29/2015,NYK vs. ATL,L,25,6,-18
Cleanthony Early,NYK,10/29/2015,NYK vs. ATL,L,1,0,3
Tony Allen,MEM,10/29/2015,MEM @ IND,W,22,9,-7
Justin Anderson,DAL,10/29/2015,DAL @ LAC,L,18,5,3
Josh Smith,LAC,10/29/2015,LAC vs. DAL,W,14,5,9
